max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,time_to_metrics,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_spectral_gap,df_entropy,df_mean,df_median,df_std_deviation,df_variance,df_min_value,df_max_value,df_skewness,df_kurtosis,df_l2_norm,df_decay_rate,basis,system,ccsdt
109110,12932,88326.29629629629,27455.350372201712,11.783375970188056,1.2592315800505072e-08,0.007870615,0.1377499113896543,53,1,22.472449032476923,11.114749675554853,14.702715873718262,1787.6651034346244,212244,16.878987548857342,15,54,26.85306383039846,3.1289804872371407,0.1688187793751756,0.001465263,1.4996603720258288,2.248981231424648,1.090446848503732e-08,31.92581022932904,19.65241291407807,410.31287932229344,33.30365224258684,0.036860121,vdz,Mn_0.0,TRUE
65667,12367,53620.08108108108,14285.99211546596,55.18379431142484,1.0008228648775333e-08,0.004614777,0.1739552268694371,37,1,16.872128721712436,7.595590006941744,2.905674695968628,682.4561777436072,117588,19.10350177326416,26,37,7.798821570708285,2.960677167096324,0.2528023467517794,0.001234887,1.5513663757206029,2.406737631716479,1.1038475362650104e-08,21.8389712,11.152121912276842,137.64528023860225,27.94144491617677,0.062964641,2z,h_o_cl,TRUE
1480,448,1204.7777777777778,308.9279951264364,36.50259153599243,7.585044143834078e-06,0.057972208,0.7164118529451241,17,1,7.894430287586458,3.778417855898823,0.066408634,239.4752188611511,2748,8.909729023693634,14,18,10.389894244216084,2.1827843412442505,0.2784745840240085,0.004003828,1.505421597020557,2.266294184775924,1.7146959160281144e-08,15.579334945510276,9.056920116917771,86.89825978424753,16.770839974395802,0.1481469211262312,2z,si,TRUE
17562,3430,14436.5,4176.929891849823,5.953899775008215,1.0995555757577088e-08,0.012236287,0.1158366712322044,28,1,12.95168215315604,5.486376289475006,0.5499372482299805,383.1190404108916,31211,12.146732748499884,14,28,8.765653859502736,2.7341731569231262,0.1985525991775702,0.000712731,1.2185498860763286,1.4848638248566337,1.118317451754738e-08,16.84353520175855,11.258406977756431,141.33568553086138,19.67660763,0.076929333,2z,c_o,TRUE
207000,23908,152862.69565217392,50112.09754178932,47.72923679562847,1.0016452787478164e-08,0.002133592,0.09078579,46,1,20.05173992021148,9.084774751564073,6.679275751113892,893.8818610909716,350678,23.992580048182308,32,46,8.452720997080256,3.201461532,0.2432450793682924,0.001059369,1.4938135086717392,2.2314787986901723,1.0639626014913164e-08,22.19927888040069,11.125692256694778,139.24843175211635,30.533478604674464,0.048596619,2z,s_o2,FALSE
21522,5538,17140.416666666668,4558.348896225718,5.770644029248467,1.0128441200847296e-08,0.010068406,0.1069167498289764,24,1,11.679348134688547,4.811265472628331,0.6306369304656982,370.2981500191112,35223,9.256859605803362,10,24,11.156759425024967,2.596460118,0.1926994323111671,0.000233835,1.180461380100542,1.3934890699088762,1.4221862781846288e-08,16.041317462459432,11.54641417330148,147.5436248580176,17.66000075777402,0.088522371,2z,h2_o,TRUE
3719,1169,2932.894736842105,683.9108817549444,3.208282463053354,8.357754318905977e-08,0.023194694,0.1451942585091094,19,1,9.232107356,3.892011018372903,0.3890590667724609,158.78493218591836,6037,5.219319887442919,5,19,4.710896484722052,2.3785027243092207,0.1310871073768172,0.000545892,0.7088776272405903,0.5025074904022494,1.2086626861010907e-08,7.917343943966284,9.338762849772616,95.25445363506005,8.887805165430098,0.1171543744653751,2z,be_h,TRUE
40601,6479,33046.24137931035,9768.661891407266,4.294098729828302,1.0047826220997473e-08,0.006365779,0.081562669,29,1,13.20738413197172,5.502065627512875,0.950042963,500.2493797226083,72562,9.450333803654768,9,29,9.696427535769567,2.7899130746338896,0.1458001417735422,0.000102116,0.9202231319586752,0.8468106125918335,1.0680079221697142e-08,13.79662100013039,12.27232543684681,171.3829423487988,15.64593426066693,0.067220346,2z,c_h3,TRUE
478,184,390.7142857142857,90.93359317296849,1.396930700987741,6.682118122431122e-05,0.047185657,0.1631578177298045,13,1,6.071032186459489,2.862644311280061,0.024399042,49.73740869,902,3.105169427999332,3,14,2.9578642376656585,2.0682245635813223,0.09961831,0.001569883,0.4686190695265431,0.219603832,8.215626857798495e-08,4.209124807158819,7.769358949831286,63.891297711816776,4.519730076564202,0.1589687261230365,2z,li,TRUE
109062,12916,88289.22222222222,27449.46674086812,11.11631747701769,1.025656675606915e-08,0.007649318,0.1404443868787556,53,1,22.473181331812377,11.116228001918223,14.614463329315186,1753.824411677223,212148,15.51725971283975,13,54,26.81226664958398,3.058278076441079,0.1588590091075114,0.000644407,1.4638217145509569,2.1427740119909022,1.0066485394899215e-08,31.384153754300904,19.93705835212448,419.8591796873662,32.59332748301569,0.036984582,vdz,V_0.0,TRUE
