,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,one_norm,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,number_of_terms,log_fci_dim,n_elec,n_orbs,df_rank,df_gap,problem_instance_uuid,problem_instance_short_name,task_uuid,instance_data_object_uuid,instance_data_object_file_name,instance_data_object_url,date_of_calculation,version_of_features_calculation_script,ham_features_calc_time,SHCI_opt-(2dde),DF_QPE-(2610),SHCI_pt_1e-4-(4ed5),SHCI_var_1e-4-(7e73),SHCI_pt_2e-4-(ad96),SHCI_pt_2e-5-(c71b),SHCI_pt_5e-5-(d626),SHCI_var_2e-4-(0db1),SHCI_var_2e-5-(86bf),SHCI_var_5e-5-(0194),DF_QPE-(5dad),CISD-(418f),HF-(5f5e),MP2-(b420),CCSD-(0a29),CCSD(T)-(c092),DF_QPE-(5d76),DF_QPE-(f6b3),DF_QPE-(4b07),DMRG_Niagara_cluster_lowest_energy-(1653)
0,81324,19726,67692.21429,18789.08435,180.1722034,1.892642564,1.07e-08,0.001254349,0.019952914,28,1,13.19554714,5.494477019,143639,13.67856634,38,28,377,4.215826825,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,blue_dimer,001a0d11-165a-49c5-a334-643023029f40,fb3ecfad-6450-423e-aa58-d5cddab6f0f6,fcidump.47_2_noncan_0.2_new.fb3ecfad-6450-423e-aa58-d5cddab6f0f6,sftp://sftp.l3harris.com/gsee/fcidump.47_2_noncan_0.2_new.fb3ecfad-6450-423e-aa58-d5cddab6f0f6.gz,22:13.4,1,164.046447,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True
1,121633,27051,100917.0,28486.92019,3221.628776,74.62773647,1.04e-08,0.014837874,0.777934711,31,1,14.40861359,6.093539376,217123,11.73408719,50,31,76,7.328868462,766ba2da-e72a-4e03-a739-f97269026fc4,planted_solution_0011,0021e256-8e13-42db-839d-e9155e8af82c,befcf6f0-cfcb-49b7-b661-de48ad8a44c8,fcidump.planted_solution_0011.befcf6f0-cfcb-49b7-b661-de48ad8a44c8,sftp://sftp.l3harris.com/gsee/planted_solutions/fcidump.planted_solution_0011.befcf6f0-cfcb-49b7-b661-de48ad8a44c8.gz,33:25.3,1,242.451277,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True
2,121663,27059,100947.1935,28493.71032,272.778886,1.950077765,1.31e-08,0.001256038,0.019213218,31,1,14.40947351,6.093703999,217175,13.79401363,46,31,446,4.655889034,664ec8e4-09d5-41cc-6266-ddb26219366f,mo_n2,00ba4917-d66a-4335-819f-43390dfc9929,23aa47ca-9afe-4086-bd97-75de310e033e,fcidump.9_mo_n2-_noncan_0.2_new.23aa47ca-9afe-4086-bd97-75de310e033e,sftp://sftp.l3harris.com/gsee/fcidump.9_mo_n2-_noncan_0.2_new.23aa47ca-9afe-4086-bd97-75de310e033e.gz,00:11.6,1,242.004472,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False,True
3,25,9,20.0,5.196152423,112.0,5.0,0.5,1.4,1.8,13,1,4.0,3.376388603,81,6.520142776,8,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,015fac89-f9df-48a9-b96f-769c287e107f,e30d9005-5d15-4cd1-8a57-7deb81e1c627,FCIDUMP_L_16_Nf_4_U_10.0_ms_0.e30d9005-5d15-4cd1-8a57-7deb81e1c627,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_4_U_10.0_ms_0.e30d9005-5d15-4cd1-8a57-7deb81e1c627.gz,18:15.9,1,0.026964,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
4,1034756,75860,816120.7059,276266.8522,1270.847379,49.35020622,1e-08,0.000657118,0.045889548,68,1,28.69545578,13.06985354,1933973,28.18146306,28,68,664,13.13695747,3f141f05-532b-478d-b38a-2ae07baadc88,na_cl_0,01ec60f7-d38a-4c33-a498-659a388e10ee,444f3f27-904b-463f-b2f2-c92686c9637d,fcidump.na_cl_cc-pVTZ.444f3f27-904b-463f-b2f2-c92686c9637d,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na_cl_cc-pVTZ.444f3f27-904b-463f-b2f2-c92686c9637d.gz,52:02.1,1,2476.888159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,34732,7562,28334.07143,8363.477122,303.5350124,6.241422583,1.23e-08,0.005006515,0.075887762,28,1,13.08560401,5.316997686,60629,12.14673275,14,28,255,6.662331681,1c3155e0-3679-4eff-bed0-57a1082672c3,c_o_0,02588640-a5ae-48e6-b28b-f6759886ab70,5de3dbbd-1d79-45c9-ac75-4140ae123baa,fcidump.c_o_cc-pVDZ.5de3dbbd-1d79-45c9-ac75-4140ae123baa,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.c_o_cc-pVDZ.5de3dbbd-1d79-45c9-ac75-4140ae123baa.gz,38:45.7,1,70.96668,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True
6,1091994,147800,891998.2963,270466.6045,958.2610891,11.68559221,1e-08,0.000470315,0.019641929,54,1,23.64081867,10.68602443,2037490,26.64835592,76,54,928,5.919091827,a8895776-3583-4884-fbc7-d6f9df21a7ac,fe_red,03c70feb-49b8-4113-831a-05e3ae55c66b,eb34bf5e-ecd6-4c2a-9eb6-d9bcb507e047,fcidump.57_5_0.2_old.eb34bf5e-ecd6-4c2a-9eb6-d9bcb507e047,sftp://sftp.l3harris.com/gsee/fcidump.57_5_0.2_old.eb34bf5e-ecd6-4c2a-9eb6-d9bcb507e047.gz,43:12.5,1,2366.939141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,7159092,376488,5698441.236,1864928.857,7768.980823,56.12926296,1e-08,0.00056914,0.059309452,110,1,45.92017564,21.76759469,13650396,18.66157877,12,110,1245,37.32481198,e48e7467-1fcd-478b-a599-f4ce881c57b9,li_f_0,0485949f-722c-49ee-a748-eec54801f021,2294b211-7a05-445e-810d-4c1706e1444c,fcidump.li_f_cc-pVQZ.2294b211-7a05-445e-810d-4c1706e1444c,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_f_cc-pVQZ.2294b211-7a05-445e-810d-4c1706e1444c.gz,28:45.2,1,17815.05522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,7,5,6.714285714,0.699854212,25.67670378,0.83405027,0.5,0.61135009,0.157472807,14,1,2.238095238,2.670914983,43,6.000868155,8,14,14,0.0,c2009f9f-4738-4919-9295-5f9231ca5199,hubbard_chain,0837ef31-3867-4fe7-b157-aceaec591f8b,ffc0877e-15c3-4fdb-833c-c565c2594299,FCIDUMP_L_14_Nf_4_U_1.66810054_ms_0.ffc0877e-15c3-4fdb-833c-c565c2594299,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_14_Nf_4_U_1.66810054_ms_0.ffc0877e-15c3-4fdb-833c-c565c2594299.gz,16:55.7,1,0.019835,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True
9,85232,13790,66046.22222,19336.23331,499.7504453,42.62258904,1e-08,0.003546593,0.165080133,36,1,16.87363565,7.036607521,140911,19.49138325,30,36,298,3.035068649,2e61ba35-b6b0-42b5-b3e8-d25bd83145ba,p2_0,084acde0-d1c7-4721-aa45-acb4832e0998,7702bafa-2620-4d12-8ec6-e8c6246d385a,fcidump.p2_cc-pVDZ.7702bafa-2620-4d12-8ec6-e8c6246d385a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.p2_cc-pVDZ.7702bafa-2620-4d12-8ec6-e8c6246d385a.gz,50:15.0,1,291.068499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
