september_task_id,benchmark_task_id
mo_n2--31,00ba4917-d66a-4335-819f-43390dfc9929
fecp2+_s0.5-46,b9cc699a-80f8-4280-9731-23dee4d5a6a5
fecp2_s0-46,dfd78a05-437d-4667-88d7-7e2a3384b816
mo_n2-30,35c1aee4-4ef3-4e18-bc2a-377cf45e8fa1
1_lut_ts-69,
1_lut_prod-70,
1_lut_react-69,
mo_n2_pincer,
ts_1over4a-55,
ts_1over4a-70,
I-55,
I-69,
rc-31,
rc-45,
pc--55,
pc--69,
ts_1over2-31,
ts_1over2-45,
pc-31,
pc-45,
2-31,
2-45,
4a-25,
4a-39,
1_ts-18,
1_ts-22,
1_ts-34,
1_ts-36,
1_star-18,
1_star-22,
1_star-34,
1_star-36,
2-19,
2-28,
2-34,
2-36,
2ru_III_3pl-9,
2ru_III_3pl-34,
3ruo_IV_2pl-10,
3ruo_IV_2pl-36,
1ru_II_2pl-9,
1ru_II_2pl-34,
