,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,submitted_by_calendar_due_date,label
0,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,fb756b97-6b23-41ca-a7fd-748d63c4e4c6,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,c01649e2-8c5c-4827-a037-1ede2159e558,8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVDZ.8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52.gz,True,True,True,16086.010521145,False,,,,True,True
1,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,c01649e2-8c5c-4827-a037-1ede2159e558,8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVDZ.8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52.gz,False,False,False,,,,,,False,False
2,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,fb756b97-6b23-41ca-a7fd-748d63c4e4c6,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,214bb702-d7bc-4141-8cf3-f6979ba0f67a,7b8c2dbd-8966-4eb4-83af-8acb07454e8a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVQZ.7b8c2dbd-8966-4eb4-83af-8acb07454e8a.gz,True,True,False,13380.361315242,False,,,,True,False
3,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,214bb702-d7bc-4141-8cf3-f6979ba0f67a,7b8c2dbd-8966-4eb4-83af-8acb07454e8a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVQZ.7b8c2dbd-8966-4eb4-83af-8acb07454e8a.gz,False,False,False,,,,,,False,False
4,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,fb756b97-6b23-41ca-a7fd-748d63c4e4c6,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,35e4c771-0f4f-4413-b42f-132f1e606cb0,781d0704-7a95-4183-9c50-cbdbd976884a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVTZ.781d0704-7a95-4183-9c50-cbdbd976884a.gz,True,True,True,5154.205182809,False,,,,True,True
5,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,35e4c771-0f4f-4413-b42f-132f1e606cb0,781d0704-7a95-4183-9c50-cbdbd976884a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVTZ.781d0704-7a95-4183-9c50-cbdbd976884a.gz,False,False,False,,,,,,False,False
6,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,173b6c36-56b5-4ba2-a7c9-e95efaacb25a,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,7f0518e8-e2c8-4912-8268-4de4cd504084,48434e2f-f09e-474e-b98c-af180386a258,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vdz.48434e2f-f09e-474e-b98c-af180386a258.gz,True,True,True,11015.149992786,False,,,,True,True
7,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,7f0518e8-e2c8-4912-8268-4de4cd504084,48434e2f-f09e-474e-b98c-af180386a258,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vdz.48434e2f-f09e-474e-b98c-af180386a258.gz,False,False,False,,,,,,False,False
8,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,173b6c36-56b5-4ba2-a7c9-e95efaacb25a,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,0f5171c4-cf55-4a82-99a2-c72edebce9c9,e304b6b5-b820-470d-a8b5-92d6354abd16,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vtz.e304b6b5-b820-470d-a8b5-92d6354abd16.gz,True,True,False,5178.447227222,False,,,,True,False
9,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,0f5171c4-cf55-4a82-99a2-c72edebce9c9,e304b6b5-b820-470d-a8b5-92d6354abd16,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vtz.e304b6b5-b820-470d-a8b5-92d6354abd16.gz,False,False,False,,,,,,False,False
10,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,c6b5147d-b5df-492e-8039-f09faf8b6995,si2_h6_0,0c1dfb55-f021-409a-80b1-79c8c2908095,109f95c5-8561-458c-8f41-72be596b87e6,bdb74fe0-4d88-4e9f-8354-7ff891c21b5b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.si2_h6_cc-pVDZ.bdb74fe0-4d88-4e9f-8354-7ff891c21b5b.gz,True,True,True,4473.956488233,False,,,,True,True
11,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,si2_h6_0,0c1dfb55-f021-409a-80b1-79c8c2908095,109f95c5-8561-458c-8f41-72be596b87e6,bdb74fe0-4d88-4e9f-8354-7ff891c21b5b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.si2_h6_cc-pVDZ.bdb74fe0-4d88-4e9f-8354-7ff891c21b5b.gz,False,False,False,,,,,,False,False
12,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,9da97ef6-4bad-4c82-8576-9b8e539a7ba8,46967cfc-d867-40e8-bef0-9655c46cef29,sftp://sftp.l3harris.com/gsee/fcidump.38_1_ts_noncan_0.2_new.46967cfc-d867-40e8-bef0-9655c46cef29.gz,False,False,False,,,,,,False,False
13,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,9da97ef6-4bad-4c82-8576-9b8e539a7ba8,46967cfc-d867-40e8-bef0-9655c46cef29,sftp://sftp.l3harris.com/gsee/fcidump.38_1_ts_noncan_0.2_new.46967cfc-d867-40e8-bef0-9655c46cef29.gz,False,False,False,,,,,,False,False
14,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,f20db1b1-86e3-4ddf-96ff-a6d37f331935,85d9d818-501e-4a0e-8fd8-c216ab5e3cb5,sftp://sftp.l3harris.com/gsee/fcidump.39_1_ts_noncan_0.2_new.85d9d818-501e-4a0e-8fd8-c216ab5e3cb5.gz,False,False,False,,,,,,False,False
15,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,f20db1b1-86e3-4ddf-96ff-a6d37f331935,85d9d818-501e-4a0e-8fd8-c216ab5e3cb5,sftp://sftp.l3harris.com/gsee/fcidump.39_1_ts_noncan_0.2_new.85d9d818-501e-4a0e-8fd8-c216ab5e3cb5.gz,False,False,False,,,,,,False,False
16,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,742be33c-0982-4b06-b324-1d86242e28d9,7db0f859-073f-46af-9325-016a67229a4b,sftp://sftp.l3harris.com/gsee/fcidump.40_1_ts_noncan_0.2_new.7db0f859-073f-46af-9325-016a67229a4b.gz,False,False,False,,,,,,False,False
17,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,742be33c-0982-4b06-b324-1d86242e28d9,7db0f859-073f-46af-9325-016a67229a4b,sftp://sftp.l3harris.com/gsee/fcidump.40_1_ts_noncan_0.2_new.7db0f859-073f-46af-9325-016a67229a4b.gz,False,False,False,,,,,,False,False
18,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,3b49563d-948a-4ecb-84a0-d3c0c2c0d217,2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b,sftp://sftp.l3harris.com/gsee/fcidump.41_1_ts_noncan_0.2_new.2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b.gz,False,False,False,,,,,,False,False
19,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,3b49563d-948a-4ecb-84a0-d3c0c2c0d217,2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b,sftp://sftp.l3harris.com/gsee/fcidump.41_1_ts_noncan_0.2_new.2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b.gz,False,False,False,,,,,,False,False
20,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,950da653-13ce-4cd7-95d8-5045ab03d4bc,a722dd32-93c7-4fbd-9cf5-f1bf44b2cdae,sftp://sftp.l3harris.com/gsee/fcidump.42_1_star_noncan_0.2_new.a722dd32-93c7-4fbd-9cf5-f1bf44b2cdae.gz,False,False,False,,,,,,False,False
21,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,950da653-13ce-4cd7-95d8-5045ab03d4bc,a722dd32-93c7-4fbd-9cf5-f1bf44b2cdae,sftp://sftp.l3harris.com/gsee/fcidump.42_1_star_noncan_0.2_new.a722dd32-93c7-4fbd-9cf5-f1bf44b2cdae.gz,False,False,False,,,,,,False,False
22,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,13821f5c-78a6-485c-9006-a17a234cde9f,d9707874-28d5-48b6-824e-a2e6c8753437,sftp://sftp.l3harris.com/gsee/fcidump.43_1_star_noncan_0.2_new.d9707874-28d5-48b6-824e-a2e6c8753437.gz,False,False,False,,,,,,False,False
23,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,13821f5c-78a6-485c-9006-a17a234cde9f,d9707874-28d5-48b6-824e-a2e6c8753437,sftp://sftp.l3harris.com/gsee/fcidump.43_1_star_noncan_0.2_new.d9707874-28d5-48b6-824e-a2e6c8753437.gz,False,False,False,,,,,,False,False
24,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,765594e5-44ac-41a2-89a7-f2ac03536379,727ab190-e399-4bb6-a9b3-20ae57789bac,sftp://sftp.l3harris.com/gsee/fcidump.44_1_star_noncan_0.2_new.727ab190-e399-4bb6-a9b3-20ae57789bac.gz,False,False,False,,,,,,False,False
25,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,765594e5-44ac-41a2-89a7-f2ac03536379,727ab190-e399-4bb6-a9b3-20ae57789bac,sftp://sftp.l3harris.com/gsee/fcidump.44_1_star_noncan_0.2_new.727ab190-e399-4bb6-a9b3-20ae57789bac.gz,False,False,False,,,,,,False,False
26,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,858b9683-fc6c-4ebe-8c33-27f0d848f24f,e986eb83-6b9d-439e-85ca-a9b931eef4a2,sftp://sftp.l3harris.com/gsee/fcidump.45_1_star_noncan_0.2_new.e986eb83-6b9d-439e-85ca-a9b931eef4a2.gz,False,False,False,,,,,,False,False
27,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,858b9683-fc6c-4ebe-8c33-27f0d848f24f,e986eb83-6b9d-439e-85ca-a9b931eef4a2,sftp://sftp.l3harris.com/gsee/fcidump.45_1_star_noncan_0.2_new.e986eb83-6b9d-439e-85ca-a9b931eef4a2.gz,False,False,False,,,,,,False,False
28,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,1a013e9f-7eab-4a1b-b486-1d9e2d99e754,6bf3207c-664b-4ed3-8e74-82b42e277234,sftp://sftp.l3harris.com/gsee/fcidump.46_2_noncan_0.2_new.6bf3207c-664b-4ed3-8e74-82b42e277234.gz,False,False,False,,,,,,False,False
29,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,1a013e9f-7eab-4a1b-b486-1d9e2d99e754,6bf3207c-664b-4ed3-8e74-82b42e277234,sftp://sftp.l3harris.com/gsee/fcidump.46_2_noncan_0.2_new.6bf3207c-664b-4ed3-8e74-82b42e277234.gz,False,False,False,,,,,,False,False
30,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,001a0d11-165a-49c5-a334-643023029f40,fb3ecfad-6450-423e-aa58-d5cddab6f0f6,sftp://sftp.l3harris.com/gsee/fcidump.47_2_noncan_0.2_new.fb3ecfad-6450-423e-aa58-d5cddab6f0f6.gz,False,False,False,,,,,,False,False
31,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,001a0d11-165a-49c5-a334-643023029f40,fb3ecfad-6450-423e-aa58-d5cddab6f0f6,sftp://sftp.l3harris.com/gsee/fcidump.47_2_noncan_0.2_new.fb3ecfad-6450-423e-aa58-d5cddab6f0f6.gz,False,False,False,,,,,,False,False
32,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,1c9508e3-b9fe-44f1-ae58-c6339ef43f47,dc406285-bac1-4b99-afbf-06728b7d699b,sftp://sftp.l3harris.com/gsee/fcidump.48_2_noncan_0.2_new.dc406285-bac1-4b99-afbf-06728b7d699b.gz,False,False,False,,,,,,False,False
33,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,1c9508e3-b9fe-44f1-ae58-c6339ef43f47,dc406285-bac1-4b99-afbf-06728b7d699b,sftp://sftp.l3harris.com/gsee/fcidump.48_2_noncan_0.2_new.dc406285-bac1-4b99-afbf-06728b7d699b.gz,False,False,False,,,,,,False,False
34,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,6713517a-ab65-4381-aae1-0839dcd6c1a0,af9d6a83-7898-4c13-80eb-a83a533ebf2d,sftp://sftp.l3harris.com/gsee/fcidump.49_2_noncan_0.2_new.af9d6a83-7898-4c13-80eb-a83a533ebf2d.gz,False,False,False,,,,,,False,False
35,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,6713517a-ab65-4381-aae1-0839dcd6c1a0,af9d6a83-7898-4c13-80eb-a83a533ebf2d,sftp://sftp.l3harris.com/gsee/fcidump.49_2_noncan_0.2_new.af9d6a83-7898-4c13-80eb-a83a533ebf2d.gz,False,False,False,,,,,,False,False
36,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,b0269f59-a298-4493-b032-a9df698bfa32,benzene,f377cc27-366a-45af-b45a-c8478e4b6199,b86457a4-abf4-43c9-9c08-2397e95b7c0f,4c655f65-1899-469c-975a-a3caec750697,sftp://sftp.l3harris.com/gsee/FCIDUMP_benzene_sto-3g_4c655f65-1899-469c-975a-a3caec750697.gz,True,True,False,16783.289033226,False,,,,True,False
37,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,benzene,f377cc27-366a-45af-b45a-c8478e4b6199,b86457a4-abf4-43c9-9c08-2397e95b7c0f,4c655f65-1899-469c-975a-a3caec750697,sftp://sftp.l3harris.com/gsee/FCIDUMP_benzene_sto-3g_4c655f65-1899-469c-975a-a3caec750697.gz,False,False,False,,,,,,False,False
38,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,b0269f59-a298-4493-b032-a9df698bfa32,benzene,f377cc27-366a-45af-b45a-c8478e4b6199,7148b36a-0571-4a41-9239-19a97339f68a,96ff0e22-a3ab-49f3-aee9-9a1886cbf850,sftp://sftp.l3harris.com/gsee/FCIDUMP_benzene_cc-pvdz_96ff0e22-a3ab-49f3-aee9-9a1886cbf850.gz,True,True,False,48605.865828454,False,,,,True,False
39,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,benzene,f377cc27-366a-45af-b45a-c8478e4b6199,7148b36a-0571-4a41-9239-19a97339f68a,96ff0e22-a3ab-49f3-aee9-9a1886cbf850,sftp://sftp.l3harris.com/gsee/FCIDUMP_benzene_cc-pvdz_96ff0e22-a3ab-49f3-aee9-9a1886cbf850.gz,False,False,False,,,,,,False,False
40,DMRG_Niagara_cluster_lowest_energy,16537433-9f4c-4eae-a65d-787dc3b35b59,7e1781bc-a6f6-4957-bd79-328a4a5d5453,Cr_1,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,b24b71b9-971a-4aca-9fc0-7198d16ca9ed,69a1826c-1bee-4855-8f5f-5df29035bfca,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cr1_vdz.69a1826c-1bee-4855-8f5f-5df29035bfca.gz,True,True,False,516.285600769,False,,,,True,False
41,DF QPE,f2d73e1f-3058-43c4-a634-b6c267c84ff1,,Cr_1,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,b24b71b9-971a-4aca-9fc0-7198d16ca9ed,69a1826c-1bee-4855-8f5f-5df29035bfca,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cr1_vdz.69a1826c-1bee-4855-8f5f-5df29035bfca.gz,False,False,False,,,,,,False,False
