empty2025-02-24 14:37:58,486 - INFO - ===============================================
2025-02-24 14:37:58,486 - INFO - overall start time: 2025-02-24 14:37:58.486490
2025-02-24 14:37:58,486 - INFO - input directory: LRE_solution_files_before_PRE_20250124
2025-02-24 14:38:01,082 - INFO - ===============================================
2025-02-24 14:38:01,082 - INFO - overall start time: 2025-02-24 14:38:01.082129
2025-02-24 14:38:01,082 - INFO - input directory: LRE_solution_files_before_PRE_20250124
2025-02-24 14:38:03,613 - INFO - ===============================================
2025-02-24 14:38:03,613 - INFO - overall start time: 2025-02-24 14:38:03.613238
2025-02-24 14:38:03,613 - INFO - input directory: LRE_solution_files_before_PRE_20250124
2025-02-24 14:38:06,131 - INFO - ===============================================
2025-02-24 14:38:06,132 - INFO - overall start time: 2025-02-24 14:38:06.131869
2025-02-24 14:38:06,132 - INFO - input directory: LRE_solution_files_before_PRE_20250124
2025-02-24 14:43:03,318 - INFO - ===============================================
2025-02-24 14:43:03,318 - INFO - overall start time: 2025-02-24 14:43:03.318126
2025-02-24 14:43:03,318 - INFO - input directory: LRE_solution_files_before_PRE_20250224
2025-02-24 14:43:03,318 - INFO - parsing 59 files in the input directory
2025-02-24 14:43:03,318 - INFO - file: c1e4c7dd-2dc4-4dd0-889d-fb34f602965a_sol_c5336de6-e05c-4e50-a966-f1d025d4f80a.json
2025-02-24 14:43:03,318 - INFO - file: a37c86c0-1937-4f05-83ab-08a5fd104b7e_sol_be81d1e8-86f3-4815-bd21-82ced15058a0.json
2025-02-24 14:43:03,318 - INFO - file: 9823b0dd-87b6-4793-9741-e8cbcf2b50c0_sol_e5a938ea-b73e-433e-bac4-6f7ab2d0b38c.json
2025-02-24 14:43:03,318 - INFO - file: 6d355019-13aa-41fc-a530-31d5f968ba22_sol_b9b9a2d0-e32f-4024-9536-5b8a640033bb.json
2025-02-24 14:43:03,318 - INFO - file: cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8_sol_e5377ec1-7a7f-4559-8336-548da65ea6e0.json
2025-02-24 14:43:03,318 - INFO - file: 3301a356-21a9-472b-8021-f02f4d2c9eec_sol_248a6005-167d-46bb-a929-e0f4c1727938.json
2025-02-24 14:43:03,318 - INFO - file: 2e61ba35-b6b0-42b5-b3e8-d25bd83145ba_sol_d837d3d6-c954-495f-8f87-d93f85f1be21.json
2025-02-24 14:43:03,318 - INFO - file: 33c9a058-7a67-454c-856c-2519ba55b44d_sol_5c1bc9bd-82b7-487a-9f4b-e03fad52dd30.json
2025-02-24 14:43:03,318 - INFO - file: 127cfea5-8a7d-45a0-9012-949816a0b8d9_sol_82cbe6f3-29c1-4000-834a-2be02425e8fe.json
2025-02-24 14:43:03,318 - INFO - file: 00ec23d5-3e17-46d3-a8b6-9ceff1826377_sol_faa2a8ff-67d8-42f3-8711-869a82057074.json
2025-02-24 14:43:03,318 - INFO - file: 162f41da-af43-427c-a8bc-ae9fa97ace95_sol_2f90da87-a699-4de4-98ad-a78231385822.json
2025-02-24 14:43:03,318 - INFO - file: d5c7ab73-dfc1-499e-9027-601476004107_sol_820d98c8-76c9-4ce8-b414-89f71877887f.json
2025-02-24 14:43:03,319 - INFO - file: e0f6ed02-6502-454b-bf2c-e7994e0510f4_sol_56513b7a-4644-4a2c-9467-46a2ba6ec2a8.json
2025-02-24 14:43:03,319 - INFO - file: 68f1a091-8652-4095-ba31-56f0e02e27d3_sol_61dba92e-1da8-4619-b7d7-f0f48cb2a4d1.json
2025-02-24 14:43:03,319 - INFO - file: 766ba2da-e72a-4e03-a739-f97269026fc4_sol_88e1ed7a-b305-446a-82f8-bd372d1dbfc8.json
2025-02-24 14:43:03,319 - INFO - file: 3f141f05-532b-478d-b38a-2ae07baadc88_sol_39122828-6d84-41de-8c76-9946b7ebf961.json
2025-02-24 14:43:03,319 - INFO - file: 9bd9cde6-6daa-441a-984e-ae1c1c051e91_sol_2ef0686b-e923-4c1e-a620-5467fef6955e.json
2025-02-24 14:43:03,319 - INFO - file: e3e78b41-577d-4536-a63f-7e968eeb6493_sol_86398027-036b-4813-a5f8-c92466d70987.json
2025-02-24 14:43:03,319 - INFO - file: 9b8083ab-ea59-47db-894c-95a0d2ba3cb6_sol_9ee939cd-294e-4346-b746-aafb180bd051.json
2025-02-24 14:43:03,319 - INFO - file: e0adafc5-789e-43e6-8f9e-e718da28de3a_sol_b64e9832-dab1-464b-86df-afa9345a4579.json
2025-02-24 14:43:03,319 - INFO - file: 19cada59-64cc-466c-8809-782a4f574dcc_sol_21b3da35-cc33-454b-bd67-8b2f50953c9a.json
2025-02-24 14:43:03,319 - INFO - file: 664ec8e4-09d5-41cc-6266-ddb26219366f_sol_4c68218b-103f-490d-b991-3195c95d4ef3.json
2025-02-24 14:43:03,319 - INFO - file: 7e0fb928-b0a9-4b44-89f1-7e0ee3b2bb13_sol_98855a22-d8cf-42a7-9a18-35f99e820882.json
2025-02-24 14:43:03,319 - INFO - file: 90d4e4fc-1216-4846-b45f-198c0530e29b_sol_e6031f9d-81d8-4daa-b87c-2adb065c32b7.json
2025-02-24 14:43:03,319 - INFO - file: f90280cc-c860-4ff1-a9ec-4841cec989f7_sol_a43eec50-a533-46b4-b288-6ad2cc0a63f2.json
2025-02-24 14:43:03,319 - INFO - file: bf3fb654-72c7-4fd4-bfd1-9ffef5aaebd8_sol_7a435404-c49d-4ed0-b011-80c4d4f5b69f.json
2025-02-24 14:43:03,319 - INFO - file: b8fe08a4-82fe-4636-9812-b1e0666f95b5_sol_979e6871-c369-4ba1-8cb6-1ad3e7e253b2.json
2025-02-24 14:43:03,319 - INFO - file: 7213642b-5f16-48be-d5e5-2bc42ebb8526_sol_74a011ad-ca89-44a8-8fc7-9f1bd47c0f7a.json
2025-02-24 14:43:03,319 - INFO - file: 18e1973e-d6cf-48d6-9ca4-c1af21ff7c98_sol_f536f8d4-d659-4693-8573-027df00693e8.json
2025-02-24 14:43:03,319 - INFO - file: 1448d27d-bfa9-470f-a6c8-864a295b66f4_sol_6370980e-4c68-4ca0-973b-b58231fb92e5.json
2025-02-24 14:43:03,319 - INFO - file: 8db449b1-265b-4a66-b965-a2b4833a88d1_sol_6a6781f9-bc5c-4fb6-b21b-268ce527c900.json
2025-02-24 14:43:03,319 - INFO - file: 036fc218-6a9c-4d49-88a4-930f5ebb5ae6_sol_fab6fb4e-6b51-4061-b0b5-285fbb35b8b9.json
2025-02-24 14:43:03,319 - INFO - file: 3d3b9e8a-7842-4ca1-bd82-eddb9804972d_sol_9f944fd8-842d-402f-8fbc-03d150d8c6eb.json
2025-02-24 14:43:03,319 - INFO - file: 11c8be98-d9c9-40ea-8d88-ea8c555028f6_sol_c9d76c1b-e599-4173-a44c-7bf26020b592.json
