molecule_name,duplicate_molecule_name,task_uuid,num_electrons,num_orbitals
Mn0_vdz,True,289f5dfe-e6d5-48a3-a6ae-25088321d3c6,15,54
h_o_cl_cc-pVDZ,False,bd44e482-057d-42c3-a052-cbd952fa8025,26,37
si_cc-pVDZ,False,,14,18
c_o_cc-pVDZ,False,02588640-a5ae-48e6-b28b-f6759886ab70,14,28
s_o2_cc-pVDZ,False,c7cd47fa-1bbd-4859-a0c8-3fd5c287c6db,32,46
h2_o_cc-pVDZ,False,80d75334-b878-41ec-99a8-b21277f3df60,10,24
be_h_cc-pVDZ,False,,5,19
c_h3_cc-pVDZ,False,,9,29
li_cc-pVDZ,False,,3,14
V0_vdz,True,0f0c8766-4bf5-4c1e-991a-9dafe9bc8f27,13,54
f2_cc-pVDZ,False,94fc2317-29af-43a1-aaec-dade9850ca27,18,28
n_cc-pVDZ,False,,7,14
Cr0_vdz,True,,20,76
c_h2_singlet_cc-pVDZ,False,5f0ac7ac-1dcc-46a6-bfa0-6e76c73a0bdd,8,24
li_f_cc-pVDZ,False,80043b93-039c-4d5a-abcb-84b8f25f7abb,12,28
O1_vdz,False,752966e5-7de7-4506-82ae-6b22cd54b1c1,5,22
n2_h4_cc-pVDZ,False,828c931b-4d5a-486e-ba26-abb293c1ccef,18,48
si_h2_singlet_cc-pVDZ,False,240f7830-f4e1-4301-b0af-ab8936851796,16,28
Ti1_vdz,False,2cd76a23-0514-458a-b588-94e2d10564d3,11,54
Ti0_vdz,True,,18,76
c2_h6_cc-pVDZ,False,15a25e30-cba9-4f63-80a6-ef95a8c79d41,18,58
h2_s_cc-pVDZ,False,f2f09d9f-8328-4d4a-ba91-089f9e56bf0d,18,28
h2_o2_cc-pVDZ,False,85743547-31ba-48ff-b854-220e4b9b620f,18,38
s2_cc-pVDZ,False,,32,36
c_s_cc-pVDZ,False,886855d3-f1a7-4004-a736-417360e81d0a,22,32
Cu0_vdz,True,7f0518e8-e2c8-4912-8268-4de4cd504084,19,54
n_h3_cc-pVDZ,False,77c3a92c-066c-4043-a4a1-5e8324014d0b,10,29
Cr1_vdz,False,b24b71b9-971a-4aca-9fc0-7198d16ca9ed,13,54
n_o_cc-pVDZ,False,,15,28
p_h2_cc-pVDZ,False,,17,28
h_c_n_cc-pVDZ,False,94db0c2c-89f6-4c3d-b886-a3a6a2bdad1d,14,33
Sc1_vdz,False,ca6f7678-0952-4fe4-83fe-c4455a682132,10,54
Sc0_vdz,True,,17,76
Fe0_vdz,True,5b8f4746-a08b-4ec5-92e2-ce55cc2fdb75,16,54
na_cc-pVDZ,False,,11,18
si_h3_cc-pVDZ,False,,17,33
o_h_cc-pVDZ,False,,9,19
h3_c_o_h_cc-pVDZ,False,fc3586af-0290-4a4a-81e1-422a1d331a09,18,48
li2_cc-pVDZ,False,e7d3b8bd-ff6c-44f6-8a9e-b9b75396cee0,6,28
c_o2_cc-pVDZ,False,615c9d78-2b84-4c7b-ab6b-ba05b188f50a,22,42
Mn1_vdz,False,9d82f7d4-165d-4499-8add-361a770d1d44,14,54
si_h4_cc-pVDZ,False,2eaee11d-c1a0-4d2b-b29b-a38e658572f2,18,38
o2_cc-pVDZ,False,,16,28
s_cc-pVDZ,False,,16,18
n_h_cc-pVDZ,False,,8,19
c2_h4_cc-pVDZ,False,26423f2e-e3e1-4bbb-b2ff-52bdae87d65b,16,48
Mn0_vdz,True,,21,76
c_n_cc-pVDZ,False,,13,28
p2_cc-pVDZ,False,084acde0-d1c7-4721-aa45-acb4832e0998,30,36
cl_cc-pVDZ,False,,17,18
li_h_cc-pVDZ,False,92917287-d937-410c-bb70-c1f34224fab7,4,19
be_cc-pVDZ,False,3fb92ecd-bcbc-43dd-9f29-aa56ea646b75,4,14
h_f_cc-pVDZ,False,b59bd259-4941-4cec-bca5-e2795c35d8e0,10,19
n2_cc-pVDZ,False,b9c35349-927d-47d5-8e0c-e054bbf4e4e0,14,28
V1_vdz,False,6d0f8edd-507f-43d5-9960-9ad49532ee42,12,54
V0_vdz,True,,19,76
si_h2_triplet_cc-pVDZ,False,,16,28
c_h2_triplet_cc-pVDZ,False,,8,24
si2_h6_cc-pVDZ,False,109f95c5-8561-458c-8f41-72be596b87e6,34,66
c_h4_cc-pVDZ,False,443371ce-c80d-450d-b281-ac1c4d5ecc4d,10,34
na2_cc-pVDZ,False,4fb7e994-8e7a-4acd-86d4-bb52db824cfc,22,36
Cu1_vdz,False,5f5fee92-5821-4d38-a54a-d204660f205f,18,54
Cr0_vdz,True,5d85532e-9116-48a1-9810-7925c9ed9c57,14,54
c_h_cc-pVDZ,False,,7,19
h3_c_s_h_cc-pVDZ,False,ff159145-fd97-486b-bf16-fc766b362ea3,26,52
p_h3_cc-pVDZ,False,af399f2b-a4f8-4fec-aca2-7c126ed989a5,18,33
Ti0_vdz,True,ab61c91a-68ea-401f-a3ad-392e83ee802e,12,54
h_c_o_cc-pVDZ,False,,15,33
h_cl_cc-pVDZ,False,fa3bc2a8-8067-4088-909a-2ddfa655ebfb,18,23
h2_c_o_cc-pVDZ,False,d58cb72b-e144-4164-aec0-309aaef6394c,16,38
O0_vdz,False,402d5237-16a3-4eb8-8bd4-5dcf2cb14c36,6,22
Cu0_vdz,True,,25,76
c_cc-pVDZ,False,,6,14
c2_h2_cc-pVDZ,False,2761e36e-f001-42af-8086-f507b5643ec8,14,38
c_h3_cl_cc-pVDZ,False,0667179a-19eb-44b9-a544-dae8793fdc3f,26,47
si2_cc-pVDZ,False,,28,36
n_h2_cc-pVDZ,False,,9,24
si_o_cc-pVDZ,False,88a6b9fd-e159-4059-9ee5-ba718fd624dc,22,32
f_cc-pVDZ,False,,9,14
Fe1_vdz,False,a7e26b10-bd6b-457c-978e-9050f6529007,15,54
Fe0_vdz,True,,22,76
p_cc-pVDZ,False,,15,18
Sc0_vdz,True,fb87d637-aaab-4e8f-8898-4ecca8bd0fe0,11,54
na_cl_cc-pVDZ,False,da831b60-89ce-4c01-96f9-c9f8a4512aab,28,36
cl2_cc-pVDZ,False,c01649e2-8c5c-4827-a037-1ede2159e558,34,36
o_cc-pVDZ,False,,8,14
