molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved,matching_key,molecule_name_2,duplicate_molecule_name,task_uuid,num_electrons,num_orbitals
Mn0_vdz,109110,12932,88326.29629629629,27455.350372201712,11.783375970188056,1.2592315800505072e-08,0.007870615,0.1377499113896543,53,1,22.472449032476923,11.114749675554853,1787.6651034346244,212244,16.878987548857342,15,54,26.85306383039846,-103.94226,-103.9416472,0.000612831,True,Mn0_vdz1554,Mn0_vdz,True,289f5dfe-e6d5-48a3-a6ae-25088321d3c6,15,54
h_o_cl_cc-pVDZ,65667,12367,53620.08108108108,14285.99211546596,55.18379431142484,1.0008228648775333e-08,0.004614777,0.1739552268694371,37,1,16.872128721712436,7.595590006941744,682.4561777436072,117588,19.10350177326416,26,37,7.798821570708285,-535.2295951,-535.228188,0.001407148,True,h_o_cl_cc-pVDZ2637,h_o_cl_cc-pVDZ,False,bd44e482-057d-42c3-a052-cbd952fa8025,26,37
c_o_cc-pVDZ,17562,3430,14436.5,4176.929891849823,5.953899775008215,1.0995555757577088e-08,0.012236287,0.1158366712322044,28,1,12.95168215315604,5.486376289475006,383.1190404108916,31211,12.146732748499884,14,28,8.765653859502736,-113.0563805,-113.054881,0.00149948,True,c_o_cc-pVDZ1428,c_o_cc-pVDZ,False,02588640-a5ae-48e6-b28b-f6759886ab70,14,28
s_o2_cc-pVDZ,207000,23908,152862.69565217392,50112.09754178932,47.72923679562847,1.0016452787478164e-08,0.002133592,0.09078579,46,1,20.05173992021148,9.084774751564073,893.8818610909716,350678,23.992580048182308,32,46,8.452720997080256,-547.7175416,-547.71433,0.003211601,False,s_o2_cc-pVDZ3246,s_o2_cc-pVDZ,False,c7cd47fa-1bbd-4859-a0c8-3fd5c287c6db,32,46
h2_o_cc-pVDZ,21522,5538,17140.416666666668,4558.348896225718,5.770644029248467,1.0128441200847296e-08,0.010068406,0.1069167498289764,24,1,11.679348134688547,4.811265472628331,370.2981500191112,35223,9.256859605803362,10,24,11.156759425024967,-76.24166946,-76.241033,0.000636462,True,h2_o_cc-pVDZ1024,h2_o_cc-pVDZ,False,80d75334-b878-41ec-99a8-b21277f3df60,10,24
V0_vdz,109062,12916,88289.22222222222,27449.46674086812,11.11631747701769,1.025656675606915e-08,0.007649318,0.1404443868787556,53,1,22.473181331812377,11.116228001918223,1753.824411677223,212148,15.51725971283975,13,54,26.81226664958398,-71.07767,-71.07640367,0.001266332,True,V0_vdz1354,V0_vdz,True,0f0c8766-4bf5-4c1e-991a-9dafe9bc8f27,13,54
f2_cc-pVDZ,13300,2142,10310.42857142857,3185.214877575221,9.372387991423086,1.0439277932555694e-08,0.014635684,0.1580078102933434,28,1,12.519167389418907,5.436603513496348,362.95351782657656,23061,13.678566336433148,18,28,8.632150515964984,-199.0993684,-199.097478,0.00189037,False,f2_cc-pVDZ1828,f2_cc-pVDZ,False,94fc2317-29af-43a1-aaec-dade9850ca27,18,28
c_h2_singlet_cc-pVDZ,20896,5494,16804.5,4431.306776787182,3.741954495027902,1.1543963924263445e-08,0.009007053,0.094273843,24,1,11.56140350877193,4.705138588711381,340.1169252420825,34885,8.052739623147437,8,24,8.323336039929938,-39.0228972,-39.021988,0.000909203,True,c_h2_singlet_cc-pVDZ824,c_h2_singlet_cc-pVDZ,False,5f0ac7ac-1dcc-46a6-bfa0-6e76c73a0bdd,8,24
li_f_cc-pVDZ,17588,3440,14481.142857142857,4181.003995234071,8.942302690424533,1.3734777192115353e-08,0.009843859,0.1093804154646998,28,1,12.955204805418877,5.485465482446819,308.49474370256263,31299,11.152083466883983,12,28,12.148369611076856,-107.1555412,-107.154932,0.000609245,True,li_f_cc-pVDZ1228,li_f_cc-pVDZ,False,80043b93-039c-4d5a-abcb-84b8f25f7abb,12,28
O1_vdz,3164,894,2515.181818181818,657.9736549273932,6.0128965715673806,8.371578077452386e-05,0.075730496,0.354919796,21,1,9.380233937955586,4.548026575636364,491.4198558,5900,5.206637011283536,5,22,17.686288226645676,-15.30067,-15.30053761,0.000132395,True,O1_vdz522,O1_vdz,False,752966e5-7de7-4506-82ae-6b22cd54b1c1,5,22
n2_h4_cc-pVDZ,495606,57348,381432.5,121416.15018913258,5.493099915154216,1.0000525379634438e-08,0.001234581,0.037578354,48,1,21.237249247772315,9.352271408,1117.030330371996,862107,18.44912136,18,48,8.943646824136726,-111.5710695,-111.569737,0.001332531,True,n2_h4_cc-pVDZ1848,n2_h4_cc-pVDZ,False,828c931b-4d5a-486e-ba26-abb293c1ccef,18,48
si_h2_singlet_cc-pVDZ,37500,7178,28593.14285714286,8243.855814719078,35.76342722700587,1.0025356857604831e-08,0.005123282,0.1546296231875451,28,1,13.270479031990718,5.544408549,374.7804319,60331,12.984991363983836,16,28,9.52852359,-290.1380216,-290.137309,0.000712608,True,si_h2_singlet_cc-pVDZ1628,si_h2_singlet_cc-pVDZ,False,240f7830-f4e1-4301-b0af-ab8936851796,16,28
Ti1_vdz,109064,12924,88297.48148148147,27446.77771328084,10.431710603591108,1.0020082987635876e-08,0.006652181,0.1244809006480188,53,1,22.47274132657149,11.114977845699524,1537.4887205977984,212172,13.748251841895977,11,54,22.393749029528152,-57.63402,-57.63343612,0.000583882,True,Ti1_vdz1154,Ti1_vdz,False,2cd76a23-0514-458a-b588-94e2d10564d3,11,54
c2_h6_cc-pVDZ,855794,72594,663499.2068965518,220837.3033793289,5.748069282529914,1.0000758614981373e-08,0.001031331,0.034272042,58,1,24.99095965581622,11.336163736610713,1684.708320954516,1539876,20.05460737270318,18,58,10.208784880573107,-79.58310216,-79.581898,0.001204161,True,c2_h6_cc-pVDZ1858,c2_h6_cc-pVDZ,False,15a25e30-cba9-4f63-80a6-ef95a8c79d41,18,58
h2_s_cc-pVDZ,38690,8298,29340.35714285714,8047.396101553975,48.06402570014292,1.0093211533408582e-08,0.005977251,0.204254548,28,1,13.482292316276627,5.643438650320864,465.6686752646157,60935,13.678566336433148,18,28,12.240058133538522,-398.8655196,-398.864845,0.000674566,True,h2_s_cc-pVDZ1828,h2_s_cc-pVDZ,False,f2f09d9f-8328-4d4a-ba91-089f9e56bf0d,18,28
h2_o2_cc-pVDZ,177504,25414,129637.52631578948,38780.61179027808,5.4783663194992105,1.0002059617718928e-08,0.002282341,0.053015644,38,1,17.91674152849053,7.613434609476089,638.6375492070495,274952,16.424437233437114,18,38,7.246468269361797,-151.1954108,-151.193716,0.001694841,False,h2_o2_cc-pVDZ1838,h2_o2_cc-pVDZ,False,85743547-31ba-48ff-b854-220e4b9b620f,18,38
c_s_cc-pVDZ,29772,4834,23750.4375,7129.524120416015,48.17323865442778,1.001164838519518e-08,0.007928101,0.2234504470217842,31,1,14.63028413028413,6.296749753756102,528.3511781086653,51949,16.221344234866493,22,32,9.761131696953726,-435.6061273,-435.604355,0.001772321,False,c_s_cc-pVDZ2232,c_s_cc-pVDZ,False,886855d3-f1a7-4004-a736-417360e81d0a,22,32
Cu0_vdz,109114,12932,88328.62962962964,27456.449900872514,13.89380293744269,1.3540101362908776e-08,0.009738056,0.1576989492851902,53,1,22.472619165406343,11.114733743416243,2161.615765285452,212248,20.10469876904957,19,54,34.829374450705274,-197.2369,-197.235506,0.001393973,True,Cu0_vdz1954,Cu0_vdz,True,7f0518e8-e2c8-4912-8268-4de4cd504084,19,54
n_h3_cc-pVDZ,77423,16003,63133.206896551725,18547.742781859502,4.816990918265522,1.0034718189155668e-08,0.003960869,0.062819802,29,1,13.512602127047154,5.434004205227975,570.5520051354086,135494,10.149303807990789,10,29,10.805277200905293,-56.40247688,-56.401866,0.000610876,True,n_h3_cc-pVDZ1029,n_h3_cc-pVDZ,False,77c3a92c-066c-4043-a4a1-5e8324014d0b,10,29
Cr1_vdz,109094,12930,88312.51851851853,27450.576711705213,11.25832502192168,1.0433859422712685e-08,0.007147816,0.1320398850528719,53,1,22.471061100823192,11.113758691106812,1636.1143094511613,212224,15.225775035081998,13,54,25.488225752616525,-86.37241,-86.37192674,0.000483263,True,Cr1_vdz1354,Cr1_vdz,False,b24b71b9-971a-4aca-9fc0-7198d16ca9ed,13,54
h_c_n_cc-pVDZ,32651,5029,26535.60606060606,7938.936383761858,4.398416602450679,1.001112028667494e-08,0.008541419,0.095164395,33,1,14.601153852566988,6.363724039051116,531.6256104038628,59974,13.261272247412732,14,33,8.457844648,-93.18988418,-93.188281,0.001603178,False,h_c_n_cc-pVDZ1433,h_c_n_cc-pVDZ,False,94db0c2c-89f6-4c3d-b886-a3a6a2bdad1d,14,33
Sc1_vdz,109040,12910,88278.51851851853,27442.58257522067,9.947953554690836,1.0273816574821889e-08,0.006328924,0.1194675773452303,53,1,22.47172790911448,11.11418104639423,1468.8819117829955,212136,12.912108644534644,10,54,20.86920189743936,-46.15683,-46.15618407,0.000645928,True,Sc1_vdz1054,Sc1_vdz,False,ca6f7678-0952-4fe4-83fe-c4455a682132,10,54
Fe0_vdz,109118,12924,88315.88888888889,27456.68181893385,12.349261327826737,1.3440083312007104e-08,0.008162364,0.1424714758961645,53,1,22.474460294346343,11.115443165714362,1845.3191265370715,212200,17.791032378502212,16,54,28.689355860768632,-123.51812,-123.5173388,0.000781221,True,Fe0_vdz1654,Fe0_vdz,True,5b8f4746-a08b-4ec5-92e2-ce55cc2fdb75,16,54
h3_c_o_h_cc-pVDZ,396546,48182,292349.0833333333,97396.43214,5.811815763848702,1.000046700321401e-08,0.001527264,0.042106404,48,1,20.50565219424376,8.975140152843386,1096.5288041811318,684337,18.44912136,18,48,8.915455180710863,-115.4210293,-115.41986,0.001169328,True,h3_c_o_h_cc-pVDZ1848,h3_c_o_h_cc-pVDZ,False,fc3586af-0290-4a4a-81e1-422a1d331a09,18,48
li2_cc-pVDZ,17596,3438,14488.92857142857,4181.102605162658,1.991281640335852,1.5671038069309517e-08,0.006539282,0.061798745,28,1,12.953065134099615,5.484300726794015,225.2131655838764,31321,7.030687786176761,6,28,3.797029358182132,-14.90054725,-14.900548,7.457343205174993e-07,True,li2_cc-pVDZ628,li2_cc-pVDZ,False,e7d3b8bd-ff6c-44f6-8a9e-b9b75396cee0,6,28
