,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,one_norm,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,number_of_terms,log_fci_dim,n_elec,n_orbs,df_rank,df_gap,problem_instance_uuid,problem_instance_short_name,task_uuid,instance_data_object_uuid,instance_data_object_file_name,instance_data_object_url,date_of_calculation,version_of_features_calculation_script,ham_features_calc_time,DF_QPE-(2610),SHCI_opt-(2dde),DF_QPE-(4b07),SHCI_pt_1e-4-(4ed5),SHCI_var_1e-4-(7e73),SHCI_pt_2e-4-(ad96),SHCI_pt_2e-5-(c71b),SHCI_pt_5e-5-(d626),SHCI_var_2e-4-(0db1),SHCI_var_2e-5-(86bf),SHCI_var_5e-5-(0194),DF_QPE-(5d76),DF_QPE-(5dad),CISD-(418f),CCSD(T)-(c092),HF-(5f5e),MP2-(b420),CCSD-(0a29),DMRG_Niagara_cluster_lowest_energy-(1653),DF_QPE-(6f38),DF_QPE-(f6b3)
0,81324,19726,67692.21428571429,18789.08434885445,180.1722033701033,1.8926425641189937,1.0743822448235116e-08,0.0012543491511306,0.0199529144368548,28,1,13.195547139336387,5.494477018941857,143639,13.678566336433148,38,28,377,4.215826825257331,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,blue_dimer,001a0d11-165a-49c5-a334-643023029f40,fb3ecfad-6450-423e-aa58-d5cddab6f0f6,fcidump.47_2_noncan_0.2_new.fb3ecfad-6450-423e-aa58-d5cddab6f0f6,sftp://sftp.l3harris.com/gsee/fcidump.47_2_noncan_0.2_new.fb3ecfad-6450-423e-aa58-d5cddab6f0f6.gz,2024-12-02 17:22:13.427317,1,164.046447,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False
1,121633,27051,100917.0,28486.920194951726,3221.628776234491,74.62773647058401,1.0388047269910023e-08,0.0148378735284058,0.7779347113483833,31,1,14.40861359051593,6.093539376088577,217123,11.734087186987294,50,31,76,7.3288684619356275,766ba2da-e72a-4e03-a739-f97269026fc4,planted_solution_0011,0021e256-8e13-42db-839d-e9155e8af82c,befcf6f0-cfcb-49b7-b661-de48ad8a44c8,fcidump.planted_solution_0011.befcf6f0-cfcb-49b7-b661-de48ad8a44c8,sftp://sftp.l3harris.com/gsee/planted_solutions/fcidump.planted_solution_0011.befcf6f0-cfcb-49b7-b661-de48ad8a44c8.gz,2024-12-03 08:33:25.253109,1,242.451277,False,True,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False
2,121663,27059,100947.19354838708,28493.71031605821,272.7788859883776,1.9500777646766905,1.3105444913523956e-08,0.0012560384115426,0.0192132177282234,31,1,14.409473509720316,6.093703998509868,217175,13.79401363374218,46,31,446,4.655889033556745,664ec8e4-09d5-41cc-6266-ddb26219366f,mo_n2,00ba4917-d66a-4335-819f-43390dfc9929,23aa47ca-9afe-4086-bd97-75de310e033e,fcidump.9_mo_n2-_noncan_0.2_new.23aa47ca-9afe-4086-bd97-75de310e033e,sftp://sftp.l3harris.com/gsee/fcidump.9_mo_n2-_noncan_0.2_new.23aa47ca-9afe-4086-bd97-75de310e033e.gz,2024-12-03 09:00:11.584098,1,242.004472,False,True,False,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False
3,25,9,20.0,5.196152422706632,112.0,5.0,0.5,1.4,1.8,13,1,4.0,3.3763886032268267,81,6.520142775970149,8,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,015fac89-f9df-48a9-b96f-769c287e107f,e30d9005-5d15-4cd1-8a57-7deb81e1c627,FCIDUMP_L_16_Nf_4_U_10.0_ms_0.e30d9005-5d15-4cd1-8a57-7deb81e1c627,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_4_U_10.0_ms_0.e30d9005-5d15-4cd1-8a57-7deb81e1c627.gz,2025-01-27 08:18:15.905178,1,0.026964,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False
4,1034756,75860,816120.7058823529,276266.8521796751,1270.8473790967378,49.35020622462777,1.0002439663594056e-08,0.0006571177757985,0.045889547505543,68,1,28.695455777022627,13.069853542813236,1933973,28.18146306246444,28,68,664,13.136957467036192,3f141f05-532b-478d-b38a-2ae07baadc88,na_cl_0,01ec60f7-d38a-4c33-a498-659a388e10ee,444f3f27-904b-463f-b2f2-c92686c9637d,fcidump.na_cl_cc-pVTZ.444f3f27-904b-463f-b2f2-c92686c9637d,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na_cl_cc-pVTZ.444f3f27-904b-463f-b2f2-c92686c9637d.gz,2024-12-04 09:52:02.138965,1,2476.888159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,34732,7562,28334.071428571428,8363.47712176739,303.5350124264989,6.2414225832162025,1.2281133048697129e-08,0.0050065153464817,0.0758877616020463,28,1,13.085604011347892,5.316997685948168,60629,12.146732748499884,14,28,255,6.662331681490407,1c3155e0-3679-4eff-bed0-57a1082672c3,c_o_0,02588640-a5ae-48e6-b28b-f6759886ab70,5de3dbbd-1d79-45c9-ac75-4140ae123baa,fcidump.c_o_cc-pVDZ.5de3dbbd-1d79-45c9-ac75-4140ae123baa,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.c_o_cc-pVDZ.5de3dbbd-1d79-45c9-ac75-4140ae123baa.gz,2024-12-03 07:38:45.652756,1,70.96668,False,True,False,True,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False
6,1091994,147800,891998.2962962963,270466.6044582426,958.2610891285046,11.685592213855696,1.0000838756537344e-08,0.0004703147301057,0.0196419293543334,54,1,23.64081867435849,10.686024429645384,2037490,26.64835591609559,76,54,928,5.919091827355607,a8895776-3583-4884-fbc7-d6f9df21a7ac,fe_red,03c70feb-49b8-4113-831a-05e3ae55c66b,eb34bf5e-ecd6-4c2a-9eb6-d9bcb507e047,fcidump.57_5_0.2_old.eb34bf5e-ecd6-4c2a-9eb6-d9bcb507e047,sftp://sftp.l3harris.com/gsee/fcidump.57_5_0.2_old.eb34bf5e-ecd6-4c2a-9eb6-d9bcb507e047.gz,2024-12-03 21:43:12.470463,1,2366.939141,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,7159092,376488,5698441.236363636,1864928.856748745,7768.980822660027,56.12926296132025,1.0001701075136076e-08,0.0005691396346159,0.0593094520530685,110,1,45.92017564326893,21.767594687995103,13650396,18.661578768348896,12,110,1245,37.32481197758421,e48e7467-1fcd-478b-a599-f4ce881c57b9,li_f_0,0485949f-722c-49ee-a748-eec54801f021,2294b211-7a05-445e-810d-4c1706e1444c,fcidump.li_f_cc-pVQZ.2294b211-7a05-445e-810d-4c1706e1444c,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_f_cc-pVQZ.2294b211-7a05-445e-810d-4c1706e1444c.gz,2024-12-09 15:28:45.172143,1,17815.055222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,418741,33585,327463.59574468085,110351.36008063104,788.1705617689033,55.08018070079458,1.0001827686770946e-08,0.0010274865683494,0.0685185611491573,47,1,20.063968055733,8.942190357386377,767087,22.296445260684788,26,47,474,8.888152728533559,379781b8-5732-492e-9fca-6fad3fc3692a,c_h3_cl_0,0667179a-19eb-44b9-a544-dae8793fdc3f,80298b55-8915-462f-8f20-e4332c94ed41,fcidump.c_h3_cl_cc-pVDZ.80298b55-8915-462f-8f20-e4332c94ed41,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.c_h3_cl_cc-pVDZ.80298b55-8915-462f-8f20-e4332c94ed41.gz,2024-12-03 16:02:08.224978,1,1205.083315,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,7,5,6.714285714285714,0.6998542122237652,25.676703779999983,0.8340502699999999,0.5,0.6113500899999998,0.1574728074494646,14,1,2.238095238095238,2.670914983310506,43,6.000868154958638,8,14,14,0.0,c2009f9f-4738-4919-9295-5f9231ca5199,hubbard_chain,0837ef31-3867-4fe7-b157-aceaec591f8b,ffc0877e-15c3-4fdb-833c-c565c2594299,FCIDUMP_L_14_Nf_4_U_1.66810054_ms_0.ffc0877e-15c3-4fdb-833c-c565c2594299,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_14_Nf_4_U_1.66810054_ms_0.ffc0877e-15c3-4fdb-833c-c565c2594299.gz,2025-01-27 08:16:55.735874,1,0.019835,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False
10,85232,13790,66046.22222222222,19336.233309962,499.7504452660629,42.62258903897322,1.0015986736004382e-08,0.0035465931819321,0.1650801330058757,36,1,16.87363565396352,7.0366075212486905,140911,19.49138325276514,30,36,298,3.0350686489260834,2e61ba35-b6b0-42b5-b3e8-d25bd83145ba,p2_0,084acde0-d1c7-4721-aa45-acb4832e0998,7702bafa-2620-4d12-8ec6-e8c6246d385a,fcidump.p2_cc-pVDZ.7702bafa-2620-4d12-8ec6-e8c6246d385a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.p2_cc-pVDZ.7702bafa-2620-4d12-8ec6-e8c6246d385a.gz,2024-12-03 09:50:14.960613,1,291.068499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,51953,13871,43421.72,11801.322297166536,160.51973274641932,1.7161371706947708,1.5537652190682255e-08,0.001771369500286,0.0212762711405334,25,1,11.979198622805372,4.8957705612459135,90620,11.282275201430084,37,25,293,3.332133517957207,8a3787cc-d3d0-42a8-d9a9-7de2aed45208,mo_n2_pincer,09b81c3d-aee1-4bc3-98ce-a72da477b108,e701d53e-63fe-47f1-b727-39457c9207e6,fcidump.30_4a_noncan_0.2_new.e701d53e-63fe-47f1-b727-39457c9207e6,sftp://sftp.l3harris.com/gsee/fcidump.30_4a_noncan_0.2_new.e701d53e-63fe-47f1-b727-39457c9207e6.gz,2024-12-02 17:30:38.173370,1,104.971738,False,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False
12,25,9,20.0,5.196152422706632,60.78480000000002,1.7990499999999998,0.5,0.7598099999999999,0.51962,13,1,4.0,3.3763886032268267,81,6.520142775970149,8,16,16,0.0,614c4444-a31a-4348-b24d-01040208651c,hubbard_square,0a4f3801-33b8-4e3f-89a9-d5c7d6ef9b4a,bb8a78a4-b713-4c02-b86d-cb7502090249,FCIDUMP_L_16_Nf_4_U_3.5981_ms_0.bb8a78a4-b713-4c02-b86d-cb7502090249,sftp://sftp.l3harris.com/gsee/FCIDUMP_L_16_Nf_4_U_3.5981_ms_0.bb8a78a4-b713-4c02-b86d-cb7502090249.gz,2025-01-27 08:17:22.689084,1,0.035336,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
