max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.0940670829649879,0.9059329170350122
7,5,True,True,0.07254922215352656,0.9274507778464735
7305,2251,True,True,0.09411435258437534,0.9058856474156245
958474,83824,True,True,0.2947153349339416,0.7052846650660587
196386,27630,True,True,0.014226991962735703,0.9857730080372643
25,9,True,True,0.09406778376222943,0.9059322162377703
482802,55964,True,True,0.09060043020232328,0.9093995697976767
5264,2224,True,True,0.02392256666881974,0.9760774333311802
25,9,True,True,0.08576321552636026,0.9142367844736397
5264,2224,True,True,0.04386207197516747,0.9561379280248327
3452280,240080,False,False,0.7399899086136769,0.2600100913863232
76115,14107,True,True,0.10724526550697341,0.8927547344930268
25,9,True,True,0.08575654526929198,0.914243454730708
51953,13871,True,True,0.09408719515290855,0.9059128048470915
3463664,240756,False,False,0.7836616716368394,0.21633832836316047
2102710,154334,False,False,0.942340884213315,0.05765911578668511
121615,27047,True,True,0.0071007050335473495,0.9928992949664525
2381479,186863,True,True,0.06535794792755156,0.9346420520724485
2907171,314251,False,False,0.6258226115080217,0.3741773884919781
7,5,True,True,0.04531733645205424,0.9546826635479458
7,5,True,True,0.050779313582074104,0.9492206864179257
25,9,True,True,0.07783146258679914,0.9221685374132007
121655,27057,True,True,0.2209904150086724,0.7790095849913278
1104160,94868,False,False,0.8161012215350717,0.18389877846492825
236798,33674,True,True,0.05163787066092225,0.9483621293390778
25,9,True,True,0.07780091445694533,0.9221990855430549
106854,24442,True,True,0.1742148622672886,0.8257851377327114
500396,56912,True,False,0.5,0.5
3633496,258654,False,False,0.9766860327556376,0.02331396724436229
919,529,True,True,0.020599171392756882,0.9794008286072432
165634,20078,False,False,0.391367304697292,0.608632695302708
25,9,True,True,0.06855531582719085,0.9314446841728092
202346,28910,True,True,0.2829761749705632,0.7170238250294365
7,5,True,True,0.05543049974209461,0.9445695002579054
1888346,168520,False,False,0.9232280323767376,0.07677196762326245
2623197,187103,True,True,0.02005184332164267,0.9799481566783574
243876,30398,True,False,0.7335337626618101,0.26646623733819
25,9,True,True,0.077816187143509,0.9221838128564909
151840,29072,True,True,0.19950747831866872,0.8004925216813311
25,9,True,True,0.06856890305349508,0.9314310969465049
7,5,True,True,0.06190060159420694,0.938099398405793
121655,27051,True,True,0.015868175568973037,0.9841318244310269
1970,644,True,True,0.019957874495187652,0.9800421255048124
567506,52412,True,True,0.24228268384769247,0.7577173161523074
302015,54941,True,False,0.43173941686810635,0.5682605831318936
25,9,True,True,0.08578159091647598,0.9142184090835239
25,9,False,True,0.07780701594639429,0.9221929840536055
17440,3872,True,True,0.1393081328899803,0.8606918671100195
5264,2224,True,True,0.00614766303893371,0.9938523369610661
2866,1354,True,True,0.028676738672329036,0.9713232613276708
491736,51434,False,False,0.8149059317811866,0.18509406821881327
25,9,True,True,0.08577324162699292,0.9142267583730069
6824,1800,True,True,0.06414151494426638,0.9358584850557337
37357,10681,True,True,0.09393296637319662,0.9060670336268034
25,9,True,True,0.06854173110177728,0.9314582688982227
26089,8041,True,True,0.07597649933800404,0.9240235006619959
3077846,328252,True,True,0.0402147023080693,0.9597852976919307
155823,32827,False,False,0.33337551210450406,0.666624487895496
5123739,285013,False,False,0.6865666490812327,0.3134333509187672
1305622,126394,False,False,0.9540721158858771,0.04592788411412283
125039,19287,True,True,0.03455319515250462,0.9654468048474955
1893060,170132,False,False,0.7234890499717174,0.2765109500282826
976149,75637,True,True,0.09401506590072485,0.905984934099275
132922,16632,True,False,0.5300972155869793,0.4699027844130207
121663,27059,True,True,0.18728385914204596,0.8127161408579542
508916,59908,False,False,0.5252831441290399,0.47471685587096024
136562,18828,True,False,0.3019097431465265,0.6980902568534735
5918863,303289,False,False,0.6259134430682135,0.37408655693178655
521436,61564,False,False,0.9129673522505556,0.08703264774944436
523444,62080,True,False,0.6425037966066185,0.3574962033933816
121665,27057,False,True,0.22979796929723612,0.7702020307027638
1140,596,True,True,0.026745031361833652,0.9732549686381663
88154,13732,False,False,0.3473396183581188,0.6526603816418813
253372,32956,False,False,0.681464526146336,0.31853547385366415
25,9,True,True,0.07782382452053686,0.9221761754794632
5264,2224,True,True,0.06455722196875495,0.9354427780312449
153172,25358,True,True,0.10150505971142558,0.8984949402885742
2992,924,True,True,0.06571121519688813,0.9342887848031118
132752,18182,True,True,0.23675593059849664,0.7632440694015032
731,409,True,True,0.02178271372958674,0.9782172862704133
25,9,True,True,0.09410339990212468,0.9058966000978755
