task_uuid,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,mean_edge_order,std_dev_edge_order,one_norm,log_fci_dim,n_elec,n_orbs,df_gap,embedding,embedded_component_1,embedded_component_2,Y,Y_predicted,prob_class_0,prob_class_1
f2f09d9f-8328-4d4a-ba91-089f9e56bf0d,21502,5474,17810.07143,4807.987803,48.54242077,1.12e-08,0.00791776,0.259548884,28,13.18078977,5.567881613,299.5605487,13.67856634,18,28,11.11634847,PCA,0.12469945138064115,-0.3070933516636631,False,False,0.9837464973835717,0.016253502616428373
402d5237-16a3-4eb8-8bd4-5dcf2cb14c36,6824,1800,5561.545455,1530.947055,6.18810579,5.39e-08,0.019969144,0.199354945,22,10.63670347,4.193991718,229.7050655,5.551132701,6,22,10.05268601,PCA,0.3362656633983162,-0.29854832457508335,False,True,0.5816176421061121,0.4183823578938879
4357d5bb-ed2b-466a-947b-e868afb81d3d,80,48,61.33333333,13.59738537,1.298465364,1.18e-07,0.072044692,0.182771188,6,3.376146789,1.269175784,7.852871466,2.352182518,8,6,2.702981826,PCA,0.5518311336159542,-0.37074639157975514,True,True,0.1940934063972341,0.8059065936027658
b164af91-a758-445c-8e78-610ffd2ad795,919,529,809.0,154.1427909,1.582613625,2.62e-07,0.016236796,0.074151305,9,5.287581699,1.762622833,22.35806778,3.848558572,12,9,3.321663766,PCA,0.4919637879178506,-0.3930017616007866,False,True,0.18100257576193896,0.8189974242380611
28bd4997-c04c-4914-9984-0101713041fe,5264,2224,4512.0,1052.94797,2.521499634,1.36e-07,0.008006071,0.064279681,14,7.451692816,2.71672862,67.86746275,5.122202767,22,14,3.277643789,PCA,0.42065716419339916,-0.4107375518693533,True,True,0.340208640916596,0.6597913590834039
dcf2b441-b297-4a89-ae18-5778ec2d674d,2866,1354,2476.0,544.8559443,0.80768613,4.73e-08,0.005826589,0.035669466,12,6.602666667,2.32883223,26.21965174,5.389210398,16,12,3.133517538,PCA,0.44832972931526316,-0.40345287534684804,True,True,0.2790654139199522,0.7209345860800478
68db6781-dd54-43c4-b667-7b754c4d5cdb,37357,10681,31316.3913,8369.820931,1.386522429,1.28e-08,0.001877931,0.021223692,23,11.16431583,4.496936992,121.1565715,10.7788886,32,23,3.681105897,PCA,0.2829025952421658,-0.420420403708986,False,False,0.9415205179164114,0.058479482083588455
89253c8f-0f01-4046-a138-1bada22f0a6a,26089,8041,21949.0,5748.45122,1.252748249,1.06e-08,0.002253471,0.020716331,21,10.34842056,4.099166623,100.3718378,10.13101005,28,21,3.14282199,PCA,0.3143892985477585,-0.41605357570093676,False,False,0.9023731244996974,0.09762687550030252
be3812d3-5975-4736-8a23-96d64e50e66a,5264,2224,4512.0,1052.94797,32.65146424,5.9e-08,0.08494231,1.318381514,14,7.451692816,2.71672862,720.0559596,6.602928146,18,14,26.96172693,PCA,0.34364609258497036,-0.2132243695799479,False,False,0.9636599103733224,0.036340089626677556
a41a284c-7baa-438e-9323-532091c7a78f,5264,2224,4512.0,1052.94797,71.60628485,2.73e-08,0.105603527,2.2100135,14,7.451692816,2.71672862,895.2010978,6.955110664,16,14,18.3316119,PCA,0.3445340260307057,-0.12311671686859976,True,True,0.34001595020861713,0.6599840497913826
80043b93-039c-4d5a-abcb-84b8f25f7abb,34918,7596,28345.42857,8354.52399,9.295023087,1.5e-08,0.003745473,0.072838575,28,13.09905925,5.328235002,226.9382393,11.15208347,12,28,9.800225865,PCA,0.22247450637901167,-0.31689764430858475,False,False,0.9628472814989715,0.03715271850102849
af56de36-35aa-44b9-8eb7-b9c1e8f7d0f3,5264,2224,4512.0,1052.94797,76.3561437,1.83e-08,0.121683156,2.119057181,14,7.451692816,2.71672862,1031.508112,6.602928146,18,14,20.12911477,PCA,0.32255727265345846,-0.12759293577257091,True,True,0.30627702019047154,0.6937229798095285
92917287-d937-410c-bb70-c1f34224fab7,7357,2251,6062.368421,1603.335346,3.009140566,2.53e-07,0.006160968,0.075133399,19,9.524144204,3.645626764,74.51074636,4.465992221,4,19,2.424589708,PCA,0.3985960130896666,-0.3308987712240204,True,True,0.15176904960816595,0.8482309503918339
35c1aee4-4ef3-4e18-bc2a-377cf45e8fa1,106854,24442,88748.26667,24918.49257,2.016765214,1.09e-08,0.001338218,0.021197881,30,14.00499719,5.893816736,254.4046607,13.53474592,45,30,4.48227997,PCA,0.1696964622081883,-0.43104932999019435,False,False,0.9907017919122685,0.009298208087731411
5509795a-90ce-45d6-b03d-db956a5da5b2,911,521,798.1111111,152.7062863,1.003784193,1.16e-08,0.010112454,0.057742419,9,5.277736958,1.763582835,13.76305045,4.20074109,11,9,3.372472192,PCA,0.4907104068071867,-0.3930944434518751,True,True,0.18416207436394785,0.8158379256360521
d937e005-3688-4138-9465-426798087395,1140,596,981.8,199.5604169,0.781468334,1.34e-08,0.008748751,0.043530276,10,5.639287766,1.995035872,15.23157542,4.723619836,10,10,3.445180241,PCA,0.4783344395804524,-0.38822130983916364,True,True,0.2029068117927231,0.7970931882072767
dab492c3-27fe-4ac3-8c98-de2563caf66c,731,409,633.4444444,119.7990086,1.023562121,1.22e-08,0.012537234,0.065199786,9,5.18744313,1.833711887,13.77842033,3.848558572,12,9,3.376281989,PCA,0.49201100029024886,-0.39446814112803946,True,True,0.16807316097299355,0.8319268390270065
13821f5c-78a6-485c-9006-a17a234cde9f,31352,9304,26325.90909,6967.255739,1.658187579,2.02e-08,0.002281567,0.026627585,22,10.75744349,4.298168882,122.8372993,10.46367289,30,22,3.629543828,PCA,0.29735469597801495,-0.4170715725283274,False,False,0.9302376080653763,0.06976239193462387
1a013e9f-7eab-4a1b-b486-1d9e2d99e754,17573,5869,14843.63158,3794.630115,0.962667282,1.72e-08,0.002655894,0.017864532,19,9.528006757,3.702030042,78.61445726,9.756836759,22,19,2.466197748,PCA,0.3468613529537804,-0.40570858809123306,False,False,0.8402354643160667,0.15976453568393337
001a0d11-165a-49c5-a334-643023029f40,81324,19726,67692.21429,18789.08435,1.892642564,1.07e-08,0.001254349,0.019952914,28,13.19554714,5.494477019,180.1722034,13.67856634,38,28,4.215826825,PCA,0.20157538147468662,-0.4200609849555696,False,False,0.9903654201466194,0.009634579853380525
e7d3b8bd-ff6c-44f6-8a9e-b9b75396cee0,17220,3810,14016.14286,3990.634498,1.948807833,1.5e-08,0.004210933,0.051207362,28,13.05909756,5.409686614,126.5469441,7.030687786,6,28,2.344342063,PCA,0.29536485426688575,-0.3098243881575333,True,True,0.3400550863085432,0.6599449136914568
80d75334-b878-41ec-99a8-b21277f3df60,11646,3334,9671.833333,2564.478369,6.062610398,1.65e-08,0.012831856,0.12889304,24,11.50952003,4.745549347,258.7928684,9.256859606,10,24,8.694990384,PCA,0.288505389337757,-0.3192846868970341,False,False,0.8964315626779632,0.10356843732203683
fa3bc2a8-8067-4088-909a-2ddfa655ebfb,16011,4257,13228.13043,3619.480377,55.98800296,1.04e-08,0.008990173,0.350169214,23,11.12420475,4.445053848,245.8812443,11.82464609,18,23,12.43868531,PCA,0.17187832976582818,-0.31149565637077586,False,False,0.9564144779062008,0.04358552209379926
77c3a92c-066c-4043-a4a1-5e8324014d0b,76115,14107,62354.03448,17859.55904,4.617778764,1.01e-08,0.003001705,0.056248216,29,13.5842467,5.605743674,399.5719536,10.14930381,10,29,7.913610008,PCA,0.22645044828541178,-0.30362910615369665,False,False,0.8854890720179085,0.11451092798209143
09b81c3d-aee1-4bc3-98ce-a72da477b108,51953,13871,43421.72,11801.3223,1.716137171,1.55e-08,0.00177137,0.021276271,25,11.97919862,4.895770561,160.5197327,11.2822752,37,25,3.332133518,PCA,0.2530612730491343,-0.4287187581706454,False,False,0.9622723609251658,0.03772763907483429
3fb92ecd-bcbc-43dd-9f29-aa56ea646b75,1970,644,1613.285714,430.7552219,1.866941121,4.61e-07,0.015595777,0.107829463,14,7.109222537,2.695027409,49.5477826,3.918082785,4,14,3.569682515,PCA,0.4542074435584087,-0.34407993304244067,True,True,0.1648523655907647,0.8351476344092353
b59bd259-4941-4cec-bca5-e2795c35d8e0,7305,2251,5996.684211,1653.792485,9.571039256,2.38e-08,0.015959588,0.157429398,19,9.420952538,3.575960318,193.0152546,8.131010046,10,19,9.852392087,PCA,0.3376991551861135,-0.33228466186972677,False,False,0.8801711311231531,0.11982886887684692
de3ea361-c2d3-4ab6-add4-ccd43cea6aa8,5264,2224,4512.0,1052.94797,34.2779399,2.36e-08,0.01132776,0.374674112,14,7.451692816,2.71672862,96.02542529,6.837011352,16,14,4.115989842,PCA,0.36703778756083394,-0.3524423831831265,False,False,0.9380821175507889,0.06191788244921114
1ade03f3-06b1-4e95-b271-fea5a6343829,5264,2224,4512.0,1052.94797,33.94842378,5.79e-07,0.014884243,0.373938947,14,7.451692816,2.71672862,126.1737303,6.779019405,18,14,4.881979949,PCA,0.3630720385735601,-0.35681521926876686,False,False,0.9393131750701622,0.06068682492983771
a9c90f98-6557-44d2-9ca0-0c9122f4080c,5264,2224,4512.0,1052.94797,34.12358046,1.11e-07,0.01379094,0.373505932,14,7.451692816,2.71672862,116.9057993,6.47798941,18,14,4.457547343,PCA,0.36586716353603344,-0.35729767285304725,False,False,0.9302205234265808,0.06977947657341932
590c2f0b-964b-4d09-96ad-101a9be59cab,5264,2224,4512.0,1052.94797,34.23645744,1.15e-08,0.013119274,0.373801657,14,7.451692816,2.71672862,111.2120834,6.47798941,18,14,4.581526614,PCA,0.3652402669099265,-0.3572118687361518,False,False,0.9305491908884383,0.06945080911156168
d28f02ba-d43f-4df9-a01a-f1e8ac326e08,5264,2224,4511.142857,1052.442524,79.80485035,2.85e-08,0.143611712,2.515029376,14,7.452035398,2.716957616,1217.109262,6.602928146,18,14,6.78844786,PCA,0.3840182063524903,-0.10821309330649997,True,True,0.3401158650212411,0.659884134978759
752966e5-7de7-4506-82ae-6b22cd54b1c1,13608,3496,10825.18182,2877.518164,6.168503648,2.23e-08,0.010693176,0.138076226,22,9.892170301,4.249967682,257.4382014,4.529943402,5,22,10.05268601,PCA,0.34108804459272996,-0.29989593459101876,True,True,0.34006541421051695,0.6599345857894832
