max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.07757427096020877,0.9224257290397914
7,5,True,True,0.06625709668401822,0.9337429033159819
7305,2251,True,True,0.06570251952199131,0.9342974804780088
958474,83824,True,True,0.07038826284613,0.92961173715387
196386,27630,True,True,0.07076821678538171,0.9292317832146184
25,9,True,True,0.07774724578158435,0.9222527542184157
482802,55964,True,True,0.08679949243317588,0.9132005075668241
5264,2224,True,True,0.05102260296750001,0.9489773970325
25,9,True,True,0.07561958257557165,0.9243804174244286
5264,2224,False,False,0.9641213848139175,0.03587861518608252
3452280,240080,True,True,0.0671544108517381,0.932845589148262
76115,14107,True,True,0.07147958591767699,0.9285204140823228
25,9,True,True,0.07524866186935134,0.9247513381306489
51953,13871,True,True,0.07086338578788338,0.9291366142121167
3463664,240756,True,True,0.0703960427585094,0.9296039572414905
2102710,154334,False,False,0.36162797572339705,0.6383720242766029
121615,27047,True,False,0.32476438834954496,0.6752356116504549
2381479,186863,True,True,1.0251218131961958e-05,0.9999897487818681
2907171,314251,False,False,0.36176869109726845,0.6382313089027316
7,5,True,True,0.06533738583999397,0.934662614160006
7,5,True,True,0.0658079505453112,0.9341920494546889
25,9,True,True,0.05875357612759879,0.9412464238724013
121655,27057,True,True,0.07198331054859411,0.9280166894514058
1104160,94868,False,False,0.36168702305525186,0.6383129769447481
236798,33674,True,True,0.06875931998746912,0.9312406800125308
25,9,True,True,0.0734570125658271,0.926542987434173
106854,24442,True,True,0.07215515558391164,0.9278448444160884
500396,56912,True,True,0.07276692412586998,0.9272330758741301
3633496,258654,True,True,0.0704332935453824,0.9295667064546176
919,529,True,True,0.0420298819643999,0.9579701180356002
165634,20078,True,True,0.06695250786737711,0.9330474921326227
25,9,True,True,0.06661402092642377,0.9333859790735765
202346,28910,True,True,0.06838222391877152,0.9316177760812284
7,5,True,True,0.06555953891903737,0.9344404610809626
1888346,168520,False,False,0.6541730531141844,0.3458269468858157
2623197,187103,True,True,0.03164249601442053,0.9683575039855794
243876,30398,True,True,0.06881682262311886,0.9311831773768809
25,9,True,True,0.07022516064565458,0.9297748393543455
151840,29072,True,True,0.07311797917631344,0.9268820208236865
25,9,True,True,0.05516652723573315,0.9448334727642667
7,5,True,True,0.06845579186976855,0.9315442081302316
121655,27051,True,True,0.0726953780949934,0.9273046219050067
1970,644,True,True,0.05020459132429972,0.9497954086757002
567506,52412,True,True,0.13989181829596423,0.8601081817040357
302015,54941,True,True,0.07037425779755423,0.9296257422024458
25,9,True,True,0.0668109397995833,0.9331890602004166
25,9,False,True,0.07374596513211797,0.9262540348678822
17440,3872,True,True,0.07343780327301719,0.9265621967269829
5264,2224,True,True,0.0575763117152593,0.9424236882847405
2866,1354,True,True,0.050341439166138716,0.9496585608338616
491736,51434,True,True,0.07843400779780077,0.9215659922021991
25,9,True,True,0.07213326358594765,0.9278667364140523
6824,1800,True,True,0.06503200047604071,0.9349679995239593
37357,10681,True,True,0.06995301749428111,0.9300469825057189
25,9,True,True,0.07037720069419162,0.9296227993058085
26089,8041,True,True,0.06858826919665159,0.9314117308033486
3077846,328252,True,True,0.044577803608491694,0.9554221963915084
155823,32827,True,True,0.07135275853228924,0.9286472414677108
5123739,285013,True,True,1.510430146252253e-11,0.9999999999848957
1305622,126394,False,False,0.60122383915888,0.39877616084112
125039,19287,True,True,0.07028136537755064,0.9297186346224492
1893060,170132,False,False,0.41244158533810754,0.5875584146618924
976149,75637,True,True,0.011484310724134436,0.9885156892758655
132922,16632,True,True,0.06606223318923994,0.93393776681076
121663,27059,True,True,0.07210830820629634,0.9278916917937035
508916,59908,True,True,0.07328627358090904,0.926713726419091
136562,18828,True,True,0.06653344323030555,0.9334665567696945
5918863,303289,True,True,1.0057739646061431e-10,0.9999999998994226
521436,61564,True,True,0.08090214210430396,0.9190978578956961
523444,62080,True,True,0.07418197305972692,0.925818026940273
121665,27057,True,True,0.07197191893942873,0.9280280810605712
1140,596,True,True,0.046598975195425475,0.9534010248045747
88154,13732,False,True,0.07325729936753209,0.9267427006324678
253372,32956,True,True,0.07037287726095268,0.9296271227390475
25,9,True,True,0.06493816217319959,0.9350618378268004
5264,2224,False,False,0.9464380432979683,0.053561956702031656
153172,25358,True,True,0.07145458639714296,0.928545413602857
2992,924,True,True,0.06798730487508345,0.9320126951249166
132752,18182,True,True,0.06546230035935668,0.9345376996406433
731,409,True,True,0.042174917287950635,0.9578250827120495
25,9,True,True,0.063353141164644,0.9366468588353559
80,48,True,True,0.03366597282152515,0.9663340271784748
948168,82324,True,True,0.09065354349284399,0.9093464565071561
5264,2224,True,True,0.05717015768428644,0.9428298423157135
1822408,157754,False,False,0.4363079347587933,0.5636920652412067
7479142,616494,True,True,3.00000089999998e-14,0.9999999999999699
121635,27025,True,True,0.07197637325075966,0.9280236267492403
25,9,True,True,0.06569185949824655,0.9343081405017534
25,9,True,True,0.07345236898938559,0.9265476310106144
13608,3496,True,True,0.06251669755207548,0.9374833024479244
25,9,True,True,0.06203821882263028,0.9379617811773698
6976718,541500,True,True,3.00000089999998e-14,0.9999999999999699
1929,811,True,True,0.054186759456199926,0.9458132405438001
7,5,True,True,0.0520082582381092,0.9479917417618905
1097078,148316,True,True,0.0875842674746738,0.9124157325253263
11646,3334,True,True,0.07028904612276775,0.9297109538772322
911,521,True,True,0.04340341549022239,0.9565965845097778
121657,27055,True,True,0.07272497491214037,0.9272750250878594
5265899,302143,True,True,1.3095679487307818e-10,0.9999999998690431
25,9,True,True,0.07490525268815909,0.9250947473118413
25,9,True,True,0.07039602735412794,0.9296039726458719
201090,38032,False,True,0.07321202166021258,0.9267879783397873
21454,5434,True,True,0.07238990256684799,0.9276100974331519
110981,15301,True,True,0.06841945733379218,0.9315805426662077
7,5,True,True,0.06776336714495639,0.9322366328550437
25,9,False,True,0.07818101659133762,0.9218189834086623
25,9,True,True,0.06963696916427259,0.9303630308357276
527399,52813,True,True,0.0628673138978992,0.9371326861021007
5264,2224,False,False,0.2608712252834073,0.7391287747165929
532333,85145,True,True,0.07342037039714365,0.9265796296028566
2906467,314073,True,True,0.07042676495762858,0.9295732350423717
521482,61124,True,True,0.08076096924784468,0.9192390307521553
34918,7596,True,True,0.07205730522650088,0.9279426947734993
34732,7562,True,True,0.07286128017828265,0.9271387198217174
5264,2224,False,False,0.9748121129912264,0.025187887008773703
17220,3810,True,True,0.06938258164533094,0.9306174183546693
