max_vertex_degree,min_vertex_degree,y_train,y_pred,prob_class_0,prob_class_1
49102,8908,False,False,0.960657043223943,0.03934295677605697
17934,3906,False,False,0.9165698687291752,0.08343013127082466
21502,5474,False,False,0.9251059586872724,0.07489404131272756
6824,1800,True,True,0.5773094934752139,0.42269050652478624
80,48,True,True,1.4502416452836437e-05,0.9999854975835472
919,529,True,True,0.02439667846281152,0.9756033215371883
5264,2224,True,True,0.08928775225576337,0.9107122477442365
2866,1354,True,True,0.06506418849638096,0.934935811503619
37357,10681,True,True,0.6094168954620128,0.3905831045379872
26089,8041,True,True,0.5215932297226931,0.4784067702773068
5264,2224,False,False,0.8181080999201672,0.18189190007983275
5264,2224,True,True,0.5215834218523487,0.4784165781476513
34918,7596,False,False,0.8674699796682236,0.13253002033177627
5264,2224,True,True,0.43811878442273333,0.5618812155772668
1929,819,True,True,0.5215929016976586,0.47840709830234124
1929,811,True,True,0.5215941021359098,0.4784058978640904
7357,2251,True,True,0.5216470257322117,0.47835297426778833
106854,24442,False,False,0.839801600460831,0.16019839953916898
911,521,True,True,0.03341901000007074,0.9665809899999293
1140,596,True,True,0.04925493618446714,0.9507450638155328
731,409,True,True,0.03086601927609388,0.969133980723906
14188,4946,True,True,0.3693570882913075,0.6306429117086926
31350,9304,True,True,0.5715518185486851,0.42844818145131475
14188,4948,True,True,0.3739988984151894,0.6260011015848105
31352,9304,False,True,0.5746781611421953,0.4253218388578045
17573,5869,True,True,0.4560654424050827,0.5439345575949173
81324,19726,False,False,0.818150245897411,0.18184975410258872
17220,3810,False,False,0.838513228362672,0.16148677163732783
11646,3334,False,False,0.7997926002244465,0.20020739977555366
16011,4257,False,False,0.8666795101460014,0.13332048985399841
76115,14107,False,False,0.8781413385650922,0.12185866143490788
21454,5434,False,False,0.920257542161777,0.07974245783822279
51953,13871,False,True,0.6821436616967876,0.31785633830321236
1970,644,False,False,0.8181003640648402,0.18189963593515984
45832,8210,False,False,0.8181464912021834,0.1818535087978166
11646,3334,False,False,0.7647680568807,0.23523194311929982
7305,2251,True,True,0.5815139464763346,0.41848605352366547
5264,2224,True,True,0.5215793819638856,0.4784206180361143
5264,2224,True,True,0.52158408731867,0.47841591268133
5264,2224,True,True,0.27874251432880887,0.7212574856711913
5264,2224,True,True,0.5115579195434266,0.4884420804565733
5264,2224,True,True,0.1221085703011963,0.8778914296988035
2992,924,False,False,0.9100071459895791,0.08999285401042106
5654,1696,False,False,0.818136814803944,0.18186318519605607
3620,1056,False,False,0.8771557442337724,0.1228442557662275
13608,3496,True,True,0.521597078042669,0.47840292195733114
13506,2854,False,False,0.9195701758271131,0.08042982417288687
106848,24434,False,False,0.8871281289835685,0.11287187101643162
34732,7562,False,False,0.885533542380411,0.11446645761958905
17440,3872,False,False,0.9008712870588698,0.09912871294113039
13314,3108,False,False,0.9108997624019777,0.08910023759802234
25496,5892,False,False,0.8881361498347997,0.11186385016520016
19446,4304,False,False,0.8989738893002273,0.10102611069977294
106820,24426,False,False,0.9013180356275826,0.09868196437241729
121659,27057,False,False,0.9043755188563634,0.09562448114363653
121655,27051,False,False,0.8988955827156867,0.10110441728431316
121657,27055,False,False,0.8990285001926075,0.10097149980739262
67245,13037,False,False,0.9333686819684789,0.0666313180315212
121629,27051,False,False,0.9226168217451646,0.07738317825483534
175374,36002,False,False,0.9063335160913593,0.09366648390864075
175322,35994,False,False,0.9050022745803538,0.09499772541964631
175368,35996,False,False,0.9061031287306626,0.0938968712693376
121633,27051,False,False,0.9048145868908432,0.09518541310915687
174262,35668,False,False,0.8975972518422026,0.10240274815779737
151840,29072,False,False,0.8854168013570902,0.11458319864290971
121615,27047,False,False,0.92734534385201,0.07265465614799017
58036,9920,False,False,0.9441879426331549,0.0558120573668452
153172,25358,False,False,0.9311754523135916,0.06882454768640817
121663,27059,False,False,0.8581609992702262,0.14183900072977382
121635,27025,False,False,0.8688063777678701,0.13119362223212983
121655,27057,False,False,0.8696124903326748,0.13038750966732518
121665,27057,False,False,0.8705722237499698,0.12942777625003027
121665,27059,False,False,0.87030517646247,0.12969482353753015
155823,32827,False,False,0.9058191843558745,0.09418081564412563
125039,19287,False,False,0.9443958835788057,0.055604116421194366
114932,17068,False,False,0.9435662257641736,0.056433774235826316
48176,8530,False,False,0.9571144871463407,0.04288551285365928
236798,33674,False,False,0.9595751063868166,0.04042489361318331
37188,7506,False,False,0.9578888431582877,0.042111156841712294
85232,13790,False,False,0.9611395859154961,0.03886041408450379
71482,13850,False,False,0.9561514752276423,0.04384852477235765
219928,42934,False,False,0.9304365626673291,0.06956343733267091
219896,42886,False,False,0.9296330517217672,0.07036694827823259
219932,42940,False,False,0.9306201273609526,0.06937987263904735
302015,54941,False,False,0.940716096366566,0.05928390363343412
122167,21039,False,False,0.9608803672911882,0.03911963270881185
84824,11998,False,False,0.9584270518806494,0.041572948119350764
201090,38032,False,False,0.9115066839701467,0.0884933160298532
167932,29908,False,False,0.9571575155527734,0.042842484447226506
530059,84539,False,False,0.963696832718267,0.03630316728173302
485822,79268,False,False,0.9620485387544132,0.03795146124558686
484396,79032,False,False,0.9619919893947508,0.03800801060524915
532615,85245,False,False,0.9624444939632868,0.037555506036713183
405126,68986,False,False,0.955885473576782,0.044114526423218114
88154,13732,False,False,0.9644880310385496,0.03551196896145035
202346,28910,False,False,0.9602072396485607,0.03979276035143935
110981,15301,False,False,0.9486753737242127,0.051324626275787204
532333,85145,False,False,0.9617211448440769,0.03827885515592322
532619,85231,False,False,0.9622180780441748,0.037781921955825214
532645,85243,False,False,0.9623769876522217,0.037623012347778324
532667,85259,False,False,0.9624227413084429,0.03757725869155708
104300,18356,False,False,0.9643128301311549,0.035687169868845015
104312,18364,False,False,0.9646120031553931,0.035387996844607056
252653,34537,False,False,0.9493934751958087,0.0506065248041913
196386,27630,False,False,0.9582617194585612,0.041738280541438987
146298,19698,False,False,0.9687436506410161,0.031256349358983956
579780,90966,False,False,0.9658252429474904,0.03417475705250964
547958,84412,False,False,0.9654491259721447,0.03455087402785543
349470,53404,False,False,0.9690047192887481,0.030995280711252023
91596,14330,False,False,0.9705154997055061,0.029484500294494023
418741,33585,False,False,0.9687924706998742,0.03120752930012579
529076,97554,False,False,0.9691050479975969,0.030894952002403164
286032,36842,False,False,0.9685437251733777,0.031456274826622284
253372,32956,False,False,0.9693422434565324,0.0306577565434677
136562,18828,False,False,0.9692306452518219,0.030769354748178077
491736,51434,False,False,0.9696593892469365,0.03034061075306358
527399,52813,False,False,0.9676689965668789,0.03233100343312104
471758,60850,False,False,0.9697406761536936,0.030259323846306422
508916,59908,False,False,0.969555870836909,0.03044412916309097
132752,18182,False,False,0.969041204492355,0.030958795507645003
521436,61564,False,False,0.9698593956275685,0.03014060437243133
1011297,138519,False,False,0.9733985236931483,0.026601476306851782
1093748,148002,False,False,0.9741046066283837,0.025895393371616286
1174567,155313,False,False,0.9747646114776312,0.02523538852236882
1091994,147800,False,False,0.9740892490843661,0.025910750915633936
1171255,155597,False,False,0.9747480890279642,0.025251910972035743
