max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.0554120821591173,0.9445879178408827
7,5,True,True,0.0028439725756288343,0.9971560274243714
7305,2251,True,True,0.008839182597400153,0.9911608174026001
958474,83824,False,False,0.8006676226944693,0.1993323773055309
196386,27630,True,True,0.10293140591505344,0.8970685940849465
25,9,True,True,0.1030286497225551,0.896971350277445
482802,55964,True,True,0.10294506430341323,0.8970549356965869
5264,2224,True,True,0.06281071688534272,0.9371892831146573
25,9,False,False,0.8005285311776135,0.1994714688223864
5264,2224,True,True,0.10295148951565994,0.8970485104843399
3452280,240080,False,False,0.8033238576606548,0.1966761423393449
76115,14107,True,True,0.10299435671765708,0.8970056432823428
25,9,True,True,0.03915086509024027,0.9608491349097595
51953,13871,True,True,0.03028815199238766,0.9697118480076123
3463664,240756,False,False,0.8169079357690534,0.18309206423094673
2102710,154334,False,False,0.8005460246075197,0.19945397539248036
121615,27047,True,True,0.10304319942161193,0.896956800578388
2381479,186863,True,True,0.10297360043280529,0.8970263995671945
2907171,314251,False,False,0.8005391572704607,0.19946084272953923
7,5,True,True,0.0217458155868734,0.9782541844131267
7,5,True,True,0.05547315431152417,0.9445268456884758
25,9,True,True,0.1325920058483882,0.8674079941516121
121655,27057,False,False,0.7897527154713397,0.2102472845286601
1104160,94868,False,False,0.8005400369370722,0.19945996306292776
236798,33674,False,False,0.800523725223362,0.19947627477663812
25,9,True,True,0.0192196615675967,0.9807803384324031
106854,24442,True,True,0.0662915490316127,0.9337084509683873
500396,56912,True,True,0.36722054727708914,0.6327794527229107
3633496,258654,False,False,0.8006092482872921,0.19939075171270793
919,529,True,True,0.08442443443884871,0.9155755655611512
165634,20078,False,False,0.8004366950370025,0.19956330496299754
25,9,True,True,0.0370062480985911,0.9629937519014088
202346,28910,True,True,3.941953632766357e-06,0.9999960580463673
7,5,True,True,0.028644481068792995,0.9713555189312073
1888346,168520,False,False,0.8004885761662754,0.19951142383372444
2623197,187103,True,True,0.10299652475424192,0.8970034752457579
243876,30398,False,False,0.8004393793920583,0.19956062060794144
25,9,True,True,0.10292683492849963,0.8970731650715005
