max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.5188446590560899,0.4811553409439103
7,5,False,True,0.3455442204996974,0.6544557795003026
7305,2251,True,True,0.1721430264619511,0.827856973538049
958474,83824,False,False,0.8325083715519004,0.16749162844809937
196386,27630,True,True,0.20228455921383878,0.7977154407861613
25,9,True,False,0.5567962952521561,0.4432037047478441
482802,55964,True,True,0.20226386443873687,0.7977361355612631
5264,2224,True,True,0.2328097534470403,0.7671902465529598
25,9,True,False,0.8404981966598724,0.15950180334012767
5264,2224,True,True,0.20219540226582627,0.7978045977341737
3452280,240080,False,False,0.8017091838077641,0.198290816192236
76115,14107,False,False,0.580313161507372,0.41968683849262794
25,9,False,True,0.5167706288435023,0.4832293711564976
51953,13871,True,True,0.20226168504754757,0.7977383149524525
3463664,240756,True,False,0.6388710957173469,0.3611289042826532
2102710,154334,False,False,0.7830621861112741,0.21693781388872585
121615,27047,True,True,0.20218740555218764,0.7978125944478123
2381479,186863,True,True,0.20228749669713952,0.7977125033028606
2907171,314251,False,False,0.7822445224893044,0.21775547751069577
7,5,False,False,0.8818137403349753,0.11818625966502469
7,5,False,False,0.8200159436671516,0.17998405633284836
25,9,False,False,0.8500777552305488,0.14992224476945112
121655,27057,True,True,0.2122468769547901,0.78775312304521
1104160,94868,False,False,0.8480289855161028,0.15197101448389716
236798,33674,False,False,0.8480687296961227,0.15193127030387718
25,9,False,True,0.5203548044393173,0.47964519556068275
106854,24442,False,True,0.21223288366468224,0.7877671163353179
500396,56912,True,True,0.35294772058993257,0.647052279410067
3633496,258654,True,True,0.20213680699836498,0.7978631930016352
919,529,True,True,0.16544974871226675,0.8345502512877333
165634,20078,False,False,0.8035285541144845,0.1964714458855155
25,9,False,False,0.8536221912660135,0.1463778087339866
202346,28910,True,True,0.2800631363910211,0.7199368636089789
7,5,True,False,0.6516122229077532,0.34838777709224683
1888346,168520,False,False,0.8480094138414345,0.15199058615856542
2623197,187103,True,True,0.2022388807446212,0.7977611192553785
243876,30398,True,True,0.3517195706398395,0.6482804293601604
25,9,False,False,0.8540576970085396,0.14594230299146038
151840,29072,True,True,0.20807397741757955,0.7919260225824204
25,9,False,False,0.8484736805722227,0.1515263194277774
7,5,False,False,0.6558710301649378,0.34412896983506236
121655,27051,False,False,0.8480811091857474,0.15191889081425264
1970,644,True,True,0.15253365477338796,0.847466345226612
567506,52412,True,True,0.2021281184536638,0.797871881546336
302015,54941,True,True,0.2172301935017617,0.7827698064982384
25,9,False,False,0.8533418112319708,0.1466581887680291
25,9,False,False,0.8480623959215846,0.1519376040784154
17440,3872,False,False,0.758453336156355,0.2415466638436451
5264,2224,False,False,0.8388154782265488,0.16118452177345136
2866,1354,True,True,0.1656045235981038,0.8343954764018963
491736,51434,False,True,0.22539540229513258,0.7746045977048673
25,9,False,False,0.8508983632520967,0.14910163674790317
6824,1800,True,True,0.14133067414965644,0.8586693258503438
37357,10681,True,True,0.22126785538237245,0.7787321446176277
25,9,True,True,0.5158170243553741,0.48418297564462576
26089,8041,True,True,0.252845163005143,0.7471548369948569
3077846,328252,True,True,0.20226657517535124,0.7977334248246485
155823,32827,True,True,0.20228752635077796,0.7977124736492219
5123739,285013,True,True,0.2022233517220118,0.7977766482779882
1305622,126394,False,False,0.8480310823460315,0.15196891765396847
125039,19287,False,False,0.6495594823748874,0.35044051762511264
1893060,170132,False,False,0.854395600854709,0.1456043991452909
976149,75637,True,True,0.20218548850137916,0.7978145114986209
132922,16632,True,False,0.6556218972993368,0.34437810270066316
121663,27059,True,True,0.20226277251705124,0.7977372274829486
508916,59908,False,True,0.3514185052644115,0.6485814947355883
136562,18828,False,False,0.8480914407978087,0.15190855920219146
5918863,303289,False,False,0.8479805229957647,0.15201947700423532
521436,61564,True,True,0.2021775798971442,0.797822420102856
523444,62080,True,True,0.24619185031468735,0.7538081496853127
121665,27057,True,True,0.21152444762698555,0.7884755523730145
1140,596,True,True,0.1532087961454651,0.8467912038545349
88154,13732,False,False,0.8480609721304453,0.1519390278695547
253372,32956,False,True,0.4135594936111502,0.5864405063888497
25,9,False,False,0.8531951108615068,0.14680488913849335
5264,2224,True,True,0.2022066843536444,0.7977933156463555
153172,25358,False,False,0.7653560221828984,0.2346439778171014
2992,924,True,True,0.2342799031946689,0.7657200968053309
132752,18182,False,False,0.8376772011995762,0.16232279880042394
731,409,True,True,0.16377491703001995,0.8362250829699802
25,9,False,False,0.8480969621062865,0.15190303789371354
80,48,True,True,0.20226660635272214,0.797733393647278
948168,82324,False,False,0.8201760097807055,0.17982399021929446
5264,2224,False,False,0.8523798020515867,0.14762019794841313
1822408,157754,False,False,0.8792515094508843,0.12074849054911595
7479142,616494,True,True,0.2022268641594394,0.7977731358405608
121635,27025,False,True,0.2136245089300041,0.786375491069996
25,9,False,False,0.8498956702285839,0.1501043297714161
25,9,False,False,0.8738214488251882,0.1261785511748117
13608,3496,True,True,0.1592009768703683,0.8407990231296315
25,9,False,False,0.8480578932742359,0.15194210672576405
6976718,541500,False,False,0.7061171757238898,0.29388282427611
1929,811,False,False,0.7565260754053624,0.24347392459463746
7,5,False,False,0.8479940523054644,0.15200594769453574
1097078,148316,True,True,0.2022891686943039,0.7977108313056961
11646,3334,True,True,0.2667345167391468,0.7332654832608534
911,521,True,True,0.1608913471026865,0.8391086528973133
121657,27055,False,False,0.8482948133100631,0.1517051866899369
5265899,302143,False,False,0.8431391187374476,0.15686088126255224
25,9,False,False,0.8480779261464265,0.15192207385357334
25,9,False,False,0.8480921183416446,0.1519078816583558
201090,38032,False,True,0.22426303204072512,0.7757369679592752
21454,5434,True,True,0.3419637888843049,0.6580362111156951
110981,15301,True,True,0.20222731125433183,0.797772688745668
7,5,False,True,0.48886406866882703,0.511135931331173
25,9,False,False,0.8370671072309037,0.16293289276909623
25,9,False,False,0.8516416907138489,0.1483583092861514
527399,52813,True,True,0.20235556007739625,0.7976444399226038
5264,2224,False,False,0.7911423778166121,0.20885762218338771
532333,85145,False,False,0.6412806834969973,0.3587193165030025
2906467,314073,True,True,0.20218808443214425,0.7978119155678559
521482,61124,True,True,0.1991956820539262,0.8008043179460737
34918,7596,True,False,0.5550825108336858,0.4449174891663143
34732,7562,False,False,0.7491074711665541,0.25089252883344604
5264,2224,True,True,0.2022477063919035,0.7977522936080964
17220,3810,True,True,0.20228218992072355,0.7977178100792763
25,9,False,False,0.8636361988690265,0.1363638011309736
11646,3334,True,True,0.1902976596119188,0.8097023403880812
25,9,False,False,0.8498590845820172,0.150140915417983
31352,9304,False,True,0.23844738508300253,0.7615526149169976
58036,9920,False,False,0.8015892917702891,0.19841070822971074
3621804,257624,True,True,0.3788589125452512,0.6211410874547488
121629,27051,True,True,0.1865603714134206,0.8134396285865793
121659,27057,False,False,0.8480658675964001,0.15193413240360007
25,9,False,False,0.8480658653081193,0.15193413469188083
25,9,False,False,0.8500235986925074,0.14997640130749282
106848,24434,False,False,0.8480774017153206,0.15192259828467924
