empty2025-01-06 09:09:42,307 - INFO - ===============================================
2025-01-06 09:09:42,307 - INFO - Starting to prepare the standard report...
2025-01-06 09:09:42,307 - INFO - overall start time: 2025-01-06 09:09:42.307405
2025-01-06 09:09:42,307 - INFO - aggregated_solver_labels_file: aggregated_solver_labels.csv
2025-01-06 09:09:42,307 - INFO - hamiltonian_features_file: Hamiltonian_features.csv
2025-01-06 09:09:42,307 - INFO - performance_metrics_directory: ../performance_metrics
2025-01-06 09:09:42,307 - INFO - problem_instances_directory: ../problem_instances
2025-01-06 09:09:42,307 - INFO - solution_files_directory: ../solution_files
2025-01-06 09:09:42,307 - INFO - ml_artifacts_directory: ./ml_artifacts
2025-01-06 09:09:42,307 - INFO - Output directory: standard_report
2025-01-06 09:09:42,335 - INFO - merging Hamiltonian features and aggregated solver labels...
2025-01-06 09:09:42,343 - INFO - number of entries in aggregated_solver_labels.csv: 460
2025-01-06 09:09:42,343 - INFO - number tasks (unique Hamiltonians): 230
2025-01-06 09:09:42,366 - INFO - number of Hamiltonians we have features calculated for: 230
2025-01-06 09:09:44,374 - DEBUG - Reading 'maxp' table from disk
2025-01-06 09:09:44,375 - DEBUG - Decompiling 'maxp' table
2025-01-06 09:09:44,375 - DEBUG - Took 0.001s to load 'maxp'
2025-01-06 09:09:44,375 - DEBUG - Took 0.000s to prune 'maxp'
2025-01-06 09:09:44,375 - INFO - maxp pruned
2025-01-06 09:09:44,376 - DEBUG - Reading 'cmap' table from disk
2025-01-06 09:09:44,376 - DEBUG - Decompiling 'cmap' table
2025-01-06 09:09:44,377 - DEBUG - Reading 'post' table from disk
2025-01-06 09:09:44,378 - DEBUG - Decompiling 'post' table
2025-01-06 09:09:44,385 - DEBUG - Took 0.009s to load 'cmap'
2025-01-06 09:09:44,385 - DEBUG - Took 0.000s to prune 'cmap'
2025-01-06 09:09:44,385 - INFO - cmap pruned
2025-01-06 09:09:44,385 - INFO - fpgm dropped
2025-01-06 09:09:44,386 - INFO - prep dropped
2025-01-06 09:09:44,386 - INFO - cvt  dropped
2025-01-06 09:09:44,386 - INFO - kern dropped
2025-01-06 09:09:44,386 - DEBUG - Took 0.000s to load 'post'
2025-01-06 09:09:44,386 - DEBUG - Took 0.000s to prune 'post'
2025-01-06 09:09:44,386 - INFO - post pruned
2025-01-06 09:09:44,387 - INFO - GPOS dropped
2025-01-06 09:09:44,387 - INFO - GSUB dropped
2025-01-06 09:09:44,388 - DEBUG - Reading 'glyf' table from disk
