,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,num_orbitals,time_limit_seconds,accuracy_tol,reference_energy,calendar_due_date,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,re_circuit_repetitions_per_calculation,re_calculation_repetitions,re_total_circuit_repetitions,re_logical_abstract_num_qubits,re_logical_abstract_t_count,re_logical_architecture_description,re_logical_compiled_num_qubits,re_logical_compiled_t_count,re_logical_compiled_num_t_factories,re_physical_architecture_description,re_physical_code_name,re_physical_code_distance,re_physical_runtime,re_physical_num_qubits,re_physical_t_count,re_physical_num_t_factories,submitted_by_calendar_due_date,label,reported_energy
4,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,9d8a9b6e-142f-48e6-bf8d-4cabfc84f21d,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,c01649e2-8c5c-4827-a037-1ede2159e558,8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVDZ.8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52.gz,36,86400,0.001,-919.2640150271372,,True,True,False,0.6987018585205078,False,,,,,,,,,,,,,,,,,,,,True,False,-918.7337020659315
13,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,9d8a9b6e-142f-48e6-bf8d-4cabfc84f21d,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,214bb702-d7bc-4141-8cf3-f6979ba0f67a,7b8c2dbd-8966-4eb4-83af-8acb07454e8a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVQZ.7b8c2dbd-8966-4eb4-83af-8acb07454e8a.gz,118,86400,0.001,-919.477844293124,,True,True,False,2.2458107471466064,False,,,,,,,,,,,,,,,,,,,,True,False,-918.8083920100728
22,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,9d8a9b6e-142f-48e6-bf8d-4cabfc84f21d,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,35e4c771-0f4f-4413-b42f-132f1e606cb0,781d0704-7a95-4183-9c50-cbdbd976884a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVTZ.781d0704-7a95-4183-9c50-cbdbd976884a.gz,68,86400,0.001,-919.4281753393263,,True,True,False,1.0708894729614258,False,,,,,,,,,,,,,,,,,,,,True,False,-918.8009511066282
31,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,1c55d69e-4af6-4966-95a7-bb00cc5660d7,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,7f0518e8-e2c8-4912-8268-4de4cd504084,48434e2f-f09e-474e-b98c-af180386a258,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vdz.48434e2f-f09e-474e-b98c-af180386a258.gz,54,86400,0.001,-197.2369,,True,True,False,2.558891773223877,False,,,,,,,,,,,,,,,,,,,,True,False,-196.5648608896039
40,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,1c55d69e-4af6-4966-95a7-bb00cc5660d7,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,0f5171c4-cf55-4a82-99a2-c72edebce9c9,e304b6b5-b820-470d-a8b5-92d6354abd16,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vtz.e304b6b5-b820-470d-a8b5-92d6354abd16.gz,88,86400,0.001,-197.44464,,True,True,False,4.104901552200317,False,,,,,,,,,,,,,,,,,,,,True,False,-196.5666392733599
49,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,deb07776-b1e4-4bf5-b3ac-dd158560da31,si2_h6_0,0c1dfb55-f021-409a-80b1-79c8c2908095,109f95c5-8561-458c-8f41-72be596b87e6,bdb74fe0-4d88-4e9f-8354-7ff891c21b5b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.si2_h6_cc-pVDZ.bdb74fe0-4d88-4e9f-8354-7ff891c21b5b.gz,66,86400,0.001,-581.6123803081928,,True,True,False,1.60738205909729,False,,,,,,,,,,,,,,,,,,,,True,False,-580.3616971361022
58,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,5f961511-c960-4233-9cf7-2db66eac45dc,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,9da97ef6-4bad-4c82-8576-9b8e539a7ba8,46967cfc-d867-40e8-bef0-9655c46cef29,sftp://sftp.l3harris.com/gsee/fcidump.38_1_ts_noncan_0.2_new.46967cfc-d867-40e8-bef0-9655c46cef29.gz,18,172800,0.001,-2453.383139874957,2124-03-20T20:48:21.795324+00:00,True,True,False,2.2173714637756348,False,,,,,,,,,,,,,,,,,,,,True,False,-2453.285594771198
67,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,5f961511-c960-4233-9cf7-2db66eac45dc,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,f20db1b1-86e3-4ddf-96ff-a6d37f331935,85d9d818-501e-4a0e-8fd8-c216ab5e3cb5,sftp://sftp.l3harris.com/gsee/fcidump.39_1_ts_noncan_0.2_new.85d9d818-501e-4a0e-8fd8-c216ab5e3cb5.gz,22,172800,0.001,-2453.722353799089,2124-03-20T20:48:21.795324+00:00,True,True,False,1.942903757095337,False,,,,,,,,,,,,,,,,,,,,True,False,-2453.5604042007876
76,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,5f961511-c960-4233-9cf7-2db66eac45dc,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,742be33c-0982-4b06-b324-1d86242e28d9,7db0f859-073f-46af-9325-016a67229a4b,sftp://sftp.l3harris.com/gsee/fcidump.40_1_ts_noncan_0.2_new.7db0f859-073f-46af-9325-016a67229a4b.gz,34,172800,0.001,-2454.500248971286,2124-03-20T20:48:21.795324+00:00,True,True,False,4.543900012969971,False,,,,,,,,,,,,,,,,,,,,True,False,-2454.1054720132406
85,HF,5f5e617a-19c2-4d82-bebc-b2d6b3dcb012,5f961511-c960-4233-9cf7-2db66eac45dc,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,3b49563d-948a-4ecb-84a0-d3c0c2c0d217,2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b,sftp://sftp.l3harris.com/gsee/fcidump.41_1_ts_noncan_0.2_new.2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b.gz,36,172800,0.001,,2124-03-20T20:48:21.795324+00:00,True,True,False,5.035236120223999,False,,,,,,,,,,,,,,,,,,,,True,False,-2454.0912482670283
