,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,num_orbitals,time_limit_seconds,accuracy_tol,reference_energy,calendar_due_date,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,re_circuit_repetitions_per_calculation,re_calculation_repetitions,re_total_circuit_repetitions,re_logical_abstract_num_qubits,re_logical_abstract_t_count,re_logical_architecture_description,re_logical_compiled_num_qubits,re_logical_compiled_t_count,re_logical_compiled_num_t_factories,re_physical_architecture_description,re_physical_code_name,re_physical_code_distance,re_physical_runtime,re_physical_num_qubits,re_physical_t_count,re_physical_num_t_factories,submitted_by_calendar_due_date,label,reported_energy
5,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,9757ffca-45ec-4976-b7f9-480f50057194,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,c01649e2-8c5c-4827-a037-1ede2159e558,8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVDZ.8d4aaf5e-4bca-4e5b-9fb0-2556228f5c52.gz,36,86400,0.00159362,-919.2640150271372,,True,True,False,0.2012653350830078,False,,,,,,,,,,,,,,,,,,,,True,False,-919.1572671540754
14,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,9757ffca-45ec-4976-b7f9-480f50057194,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,214bb702-d7bc-4141-8cf3-f6979ba0f67a,7b8c2dbd-8966-4eb4-83af-8acb07454e8a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVQZ.7b8c2dbd-8966-4eb4-83af-8acb07454e8a.gz,118,86400,0.00159362,-919.477844293124,,True,True,False,0.32857584953308105,False,,,,,,,,,,,,,,,,,,,,True,False,-919.4247948259836
23,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,9757ffca-45ec-4976-b7f9-480f50057194,cl2_0,0e393c20-3915-42b9-a8aa-29bf53548269,35e4c771-0f4f-4413-b42f-132f1e606cb0,781d0704-7a95-4183-9c50-cbdbd976884a,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.cl2_cc-pVTZ.781d0704-7a95-4183-9c50-cbdbd976884a.gz,68,86400,0.00159362,-919.4281753393263,,True,True,False,0.40117979049682617,False,,,,,,,,,,,,,,,,,,,,True,False,-919.3230454680647
32,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,886be756-94ce-4b63-9139-6d34b45872f1,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,7f0518e8-e2c8-4912-8268-4de4cd504084,48434e2f-f09e-474e-b98c-af180386a258,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vdz.48434e2f-f09e-474e-b98c-af180386a258.gz,54,86400,0.00159362,-197.2369,,True,True,False,0.3891153335571289,False,,,,,,,,,,,,,,,,,,,,True,False,-197.317469302247
41,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,886be756-94ce-4b63-9139-6d34b45872f1,Cu_0,1448d27d-bfa9-470f-a6c8-864a295b66f4,0f5171c4-cf55-4a82-99a2-c72edebce9c9,e304b6b5-b820-470d-a8b5-92d6354abd16,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Cu0_vtz.e304b6b5-b820-470d-a8b5-92d6354abd16.gz,88,86400,0.00159362,-197.44464,,True,True,False,0.5928525924682617,False,,,,,,,,,,,,,,,,,,,,True,False,-197.52104163176094
50,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,6b0f33b7-4827-481a-9a66-cabfac9c7548,si2_h6_0,0c1dfb55-f021-409a-80b1-79c8c2908095,109f95c5-8561-458c-8f41-72be596b87e6,bdb74fe0-4d88-4e9f-8354-7ff891c21b5b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.si2_h6_cc-pVDZ.bdb74fe0-4d88-4e9f-8354-7ff891c21b5b.gz,66,86400,0.00159362,-581.6123803081928,,True,True,False,0.19913625717163086,False,,,,,,,,,,,,,,,,,,,,True,False,-580.7145178815676
59,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,1711cf6b-778e-41ff-af88-ed5cf2949531,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,9da97ef6-4bad-4c82-8576-9b8e539a7ba8,46967cfc-d867-40e8-bef0-9655c46cef29,sftp://sftp.l3harris.com/gsee/fcidump.38_1_ts_noncan_0.2_new.46967cfc-d867-40e8-bef0-9655c46cef29.gz,18,172800,0.00159362,-2453.383139874957,2124-03-20T20:48:21.795324+00:00,True,True,False,0.13488507270812988,False,,,,,,,,,,,,,,,,,,,,True,False,-2453.310902078861
68,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,1711cf6b-778e-41ff-af88-ed5cf2949531,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,f20db1b1-86e3-4ddf-96ff-a6d37f331935,85d9d818-501e-4a0e-8fd8-c216ab5e3cb5,sftp://sftp.l3harris.com/gsee/fcidump.39_1_ts_noncan_0.2_new.85d9d818-501e-4a0e-8fd8-c216ab5e3cb5.gz,22,172800,0.00159362,-2453.722353799089,2124-03-20T20:48:21.795324+00:00,True,True,False,0.16733694076538086,False,,,,,,,,,,,,,,,,,,,,True,False,-2453.682999981528
77,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,1711cf6b-778e-41ff-af88-ed5cf2949531,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,742be33c-0982-4b06-b324-1d86242e28d9,7db0f859-073f-46af-9325-016a67229a4b,sftp://sftp.l3harris.com/gsee/fcidump.40_1_ts_noncan_0.2_new.7db0f859-073f-46af-9325-016a67229a4b.gz,34,172800,0.00159362,-2454.500248971286,2124-03-20T20:48:21.795324+00:00,True,True,False,0.2750530242919922,False,,,,,,,,,,,,,,,,,,,,True,False,-2454.37179879342
86,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,1711cf6b-778e-41ff-af88-ed5cf2949531,blue_dimer,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,3b49563d-948a-4ecb-84a0-d3c0c2c0d217,2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b,sftp://sftp.l3harris.com/gsee/fcidump.41_1_ts_noncan_0.2_new.2f0b6ced-7831-4fe0-b95e-ce4d456c9c6b.gz,36,172800,0.00159362,,2124-03-20T20:48:21.795324+00:00,True,True,False,0.361738920211792,False,,,,,,,,,,,,,,,,,,,,True,False,-2454.4085418707186
