max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.07614210499233975,0.9238578950076602
7,5,True,True,0.05785286618209981,0.9421471338179004
7305,2251,True,True,0.061490034372160836,0.938509965627839
958474,83824,True,False,0.4574466460334599,0.54255335396654
196386,27630,True,True,0.01815947954592303,0.9818405204540768
25,9,True,True,0.07614154540750975,0.9238584545924904
482802,55964,True,True,0.09704297771747261,0.9029570222825275
5264,2224,True,True,0.01947504774155106,0.9805249522584488
25,9,True,True,0.07032934957400142,0.9296706504259986
5264,2224,True,True,0.012019754024611666,0.9879802459753881
3452280,240080,False,False,0.7468519126351923,0.25314808736480754
76115,14107,True,True,0.08732371866061721,0.9126762813393829
25,9,True,True,0.07033473183893546,0.9296652681610644
51953,13871,True,True,0.08614876094440974,0.9138512390555903
3463664,240756,False,False,0.7906816269604892,0.2093183730395108
2102710,154334,False,False,0.9446063072503733,0.05539369274962674
121615,27047,True,True,0.005120394941756868,0.9948796050582431
2381479,186863,True,True,0.10644685922965444,0.8935531407703456
2907171,314251,False,False,0.6543057303956821,0.3456942696043179
7,5,True,True,0.039447566037990475,0.9605524339620096
7,5,True,True,0.04320495459484164,0.9567950454051583
25,9,True,True,0.06382479769504264,0.9361752023049573
121655,27057,True,True,0.21009060688470937,0.7899093931152907
1104160,94868,False,False,0.8302079338070982,0.1697920661929018
236798,33674,True,True,0.03573031118288082,0.9642696888171193
25,9,True,True,0.06384941841043083,0.9361505815895692
106854,24442,True,True,0.16900988397067465,0.8309901160293252
500396,56912,True,False,0.49351277477316025,0.5064872252268396
3633496,258654,False,False,0.9721251829797143,0.027874817020285818
919,529,True,True,0.01478465260818323,0.9852153473918167
165634,20078,False,False,0.39729355753548806,0.6027064424645121
25,9,True,True,0.05728882909577406,0.9427111709042261
202346,28910,True,True,0.25802918573179795,0.7419708142682019
7,5,True,True,0.046346319450285826,0.9536536805497143
1888346,168520,False,False,0.9159310235865642,0.08406897641343591
2623197,187103,True,True,0.034555619987803245,0.9654443800121967
243876,30398,True,False,0.7036762986299862,0.29632370137001374
25,9,True,True,0.06383710694464333,0.9361628930553568
151840,29072,True,True,0.21211081371599586,0.7878891862840042
25,9,True,True,0.05727770675591647,0.9427222932440834
7,5,True,True,0.05091713783935939,0.9490828621606405
121655,27051,True,True,0.014963866036034267,0.9850361339639657
1970,644,True,True,0.014795829629124778,0.9852041703708753
567506,52412,True,True,0.2548444602468968,0.7451555397531033
302015,54941,True,False,0.43977680590369783,0.5602231940963023
25,9,True,True,0.0703145263234025,0.9296854736765976
25,9,False,True,0.06384449940620372,0.9361555005937965
17440,3872,True,True,0.10759159739879431,0.8924084026012057
5264,2224,True,True,0.0035235611059619486,0.9964764388940384
2866,1354,True,True,0.021500468782641596,0.9784995312173586
491736,51434,False,False,0.7757003008221283,0.2242996991778717
25,9,True,True,0.07032126089723234,0.9296787391027675
6824,1800,True,True,0.04783379681244161,0.9521662031875585
37357,10681,True,True,0.08090144079121787,0.9190985592087823
25,9,True,True,0.05729995346584842,0.9427000465341517
26089,8041,True,True,0.06301605373840433,0.9369839462615956
3077846,328252,True,True,0.04449126327237217,0.9555087367276278
155823,32827,False,False,0.3102373421590397,0.6897626578409602
5123739,285013,False,False,0.8418830031135606,0.1581169968864395
1305622,126394,False,False,0.9504987645933383,0.0495012354066617
