max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.03584369577954609,0.9641563042204538
7,5,True,True,0.025789005932831233,0.9742109940671686
7305,2251,True,True,0.016990594304725513,0.9830094056952743
958474,83824,True,True,0.12526951304625467,0.8747304869537452
196386,27630,True,True,0.07308263114725855,0.9269173688527415
25,9,True,True,0.04253129158231444,0.9574687084176855
482802,55964,True,True,0.12468848610754223,0.8753115138924578
5264,2224,True,True,0.01693959240913351,0.9830604075908664
25,9,True,True,0.22392684888666284,0.7760731511133371
5264,2224,False,False,0.9388381399950941,0.06116186000490585
3452280,240080,True,True,0.06402433609696014,0.9359756639030398
76115,14107,True,True,0.019106505477295303,0.9808934945227047
25,9,True,True,0.034965564991930966,0.9650344350080692
51953,13871,True,True,0.019760054679192316,0.9802399453208077
3463664,240756,True,True,0.0630813505256934,0.9369186494743066
2102710,154334,False,True,0.6224032104676558,0.3775967895323441
121615,27047,True,True,0.28087120750252953,0.7191287924974704
2381479,186863,True,True,0.13690074138301614,0.8630992586169839
2907171,314251,False,True,0.6477008537412894,0.3522991462587108
7,5,True,True,0.1675180364980782,0.8324819635019218
7,5,True,True,0.14898173584185403,0.8510182641581461
25,9,True,True,0.03266550713957517,0.9673344928604249
121655,27057,True,True,0.04319162313642562,0.9568083768635742
1104160,94868,False,False,0.9962399445175119,0.00376005548248818
236798,33674,True,True,0.06386156215951636,0.9361384378404836
25,9,True,True,0.034004285029955804,0.9659957149700442
106854,24442,True,True,0.03942582617489549,0.9605741738251045
500396,56912,True,True,0.016715904691232353,0.9832840953087677
3633496,258654,True,True,0.1049464337140167,0.8950535662859832
919,529,True,True,0.017841830386873102,0.9821581696131271
165634,20078,True,True,0.01798735120381729,0.9820126487961828
25,9,True,True,0.03551274400588452,0.9644872559941156
202346,28910,True,True,0.025915438457063098,0.974084561542937
7,5,True,True,0.05613924880437549,0.9438607511956247
1888346,168520,False,False,0.9970329490321791,0.0029670509678209355
2623197,187103,True,True,0.1479488679867802,0.8520511320132198
243876,30398,True,True,0.01859545990089015,0.98140454009911
25,9,True,True,0.03550955378902319,0.9644904462109768
151840,29072,True,True,0.14353214878157264,0.8564678512184272
25,9,True,True,0.03289863175385268,0.9671013682461473
7,5,True,True,0.056778641567761974,0.943221358432238
121655,27051,True,True,0.05587550314606996,0.9441244968539301
1970,644,True,True,0.016963905128431146,0.9830360948715688
567506,52412,True,True,0.15070067366730977,0.8492993263326903
302015,54941,True,True,0.20236655041246898,0.797633449587531
25,9,True,True,0.017021364823195093,0.982978635176805
25,9,False,True,0.21877512011177389,0.7812248798882261
17440,3872,True,True,0.02211179718874278,0.9778882028112574
5264,2224,True,True,0.04468439478419659,0.9553156052158034
2866,1354,True,True,0.015495815651458017,0.984504184348542
491736,51434,True,True,0.02379507780218253,0.9762049221978177
25,9,True,True,0.03588607711701289,0.9641139228829871
6824,1800,True,True,0.019732738785607856,0.980267261214392
37357,10681,True,True,0.017377567087780585,0.9826224329122193
25,9,True,True,0.03350234100819795,0.966497658991802
26089,8041,True,True,0.01696390535272424,0.9830360946472758
3077846,328252,True,True,0.11788902657027416,0.8821109734297258
155823,32827,True,True,0.06616270307013583,0.9338372969298642
5123739,285013,True,True,0.13141251845673738,0.8685874815432628
1305622,126394,False,False,0.9919906174548129,0.0080093825451871
125039,19287,True,True,0.04618519819075831,0.9538148018092417
1893060,170132,False,False,0.9971860346470314,0.0028139653529685995
976149,75637,True,True,0.12735924079143265,0.8726407592085672
132922,16632,True,True,0.016635482115324163,0.9833645178846758
121663,27059,True,True,0.04768877158325047,0.9523112284167496
508916,59908,True,True,0.017057200211935675,0.9829427997880644
136562,18828,True,True,0.020609141143908268,0.9793908588560916
5918863,303289,True,True,0.11533350510888586,0.884666494891114
521436,61564,True,True,0.05138742441031988,0.94861257558968
523444,62080,True,True,0.017811510030291584,0.9821884899697085
121665,27057,True,True,0.04390758727061632,0.9560924127293837
1140,596,True,True,0.016995005922572873,0.9830049940774273
88154,13732,False,True,0.45793115533734235,0.5420688446626576
253372,32956,True,True,0.017241263901419317,0.9827587360985806
25,9,True,True,0.016969551685467443,0.9830304483145325
5264,2224,False,False,0.944272517790795,0.05572748220920505
153172,25358,True,True,0.03573486301269696,0.964265136987303
2992,924,True,True,0.030919576697186344,0.9690804233028137
132752,18182,True,True,0.02099087548913645,0.9790091245108636
731,409,True,True,0.018216808068135998,0.9817831919318639
25,9,True,True,0.03309774242622918,0.9669022575737707
80,48,True,True,0.03126319731230994,0.9687368026876901
948168,82324,True,True,0.14269831982351602,0.8573016801764839
5264,2224,True,True,0.044150633052562865,0.9558493669474373
1822408,157754,False,False,0.9987123358774392,0.001287664122560707
7479142,616494,True,True,0.12475146094069453,0.8752485390593054
121635,27025,True,True,0.04254867857697296,0.9574513214230271
25,9,True,True,0.01682710668393997,0.98317289331606
25,9,True,True,0.2339565009132965,0.7660434990867035
13608,3496,True,True,0.02183604740895013,0.9781639525910497
25,9,True,True,0.017015550549597882,0.9829844494504021
6976718,541500,True,True,0.12475143824706725,0.8752485617529329
1929,811,True,True,0.02945277030632464,0.9705472296936756
7,5,True,True,0.05232956115109126,0.9476704388489089
1097078,148316,True,True,0.09714951413704241,0.9028504858629576
11646,3334,True,True,0.013863606158466749,0.9861363938415332
911,521,True,True,0.01813771849408798,0.9818622815059121
121657,27055,True,True,0.05588297813569644,0.9441170218643036
5265899,302143,True,True,0.11330017503503481,0.8866998249649651
25,9,True,True,0.036377309357642745,0.9636226906423572
25,9,True,True,0.017085517268296945,0.982914482731703
201090,38032,False,True,0.22984228000685372,0.7701577199931462
21454,5434,True,True,0.04472210491752608,0.9552778950824738
110981,15301,True,True,0.0448483620296231,0.9551516379703769
7,5,True,True,0.02797267189244102,0.9720273281075592
25,9,False,True,0.22750677659229243,0.7724932234077077
25,9,True,True,0.01722225864141557,0.9827777413585846
527399,52813,True,True,0.05109215370922269,0.9489078462907774
5264,2224,False,True,0.6505202613098116,0.3494797386901885
532333,85145,True,True,0.16484221660311196,0.8351577833968878
2906467,314073,True,True,0.12382807344741012,0.8761719265525899
521482,61124,True,True,0.05036568713231038,0.9496343128676896
34918,7596,True,True,0.022676168318940863,0.9773238316810591
34732,7562,True,True,0.02167279681465067,0.9783272031853494
5264,2224,False,False,0.7697596463461828,0.2302403536538173
17220,3810,True,True,0.02391090661579968,0.9760890933842005
25,9,True,True,0.24233792530142387,0.7576620746985763
11646,3334,True,True,0.012266644415291553,0.9877333555847084
25,9,True,True,0.01688287402294038,0.9831171259770597
31352,9304,True,True,0.016715367586063207,0.9832846324139367
58036,9920,True,True,0.0536108957067612,0.9463891042932387
3621804,257624,True,True,0.07376022965020948,0.9262397703497905
121629,27051,True,True,0.43170146820257704,0.568298531797423
121659,27057,True,True,0.05588187906425694,0.9441181209357432
25,9,True,True,0.21349136318984807,0.7865086368101518
25,9,True,True,0.032794184614667606,0.9672058153853326
106848,24434,True,True,0.053124569938314645,0.9468754300616854
186374,22422,True,True,0.017166623047608878,0.9828333769523909
84824,11998,True,True,0.07594718427966528,0.9240528157203346
121633,27051,True,True,0.4302725198758505,0.5697274801241495
5264,2224,True,True,0.04404480013512561,0.9559551998648743
121665,27059,True,True,0.043383334564442315,0.9566166654355578
3634696,258698,True,True,0.10500342045751211,0.894996579542488
7357,2251,True,True,0.017470104269680105,0.98252989573032
25,9,True,True,0.017162600818679,0.9828373991813208
21502,5474,True,True,0.054216817937753785,0.9457831820622463
252653,34537,True,True,0.05136879961766062,0.9486312003823394
1086094,110944,False,False,0.997190687818852,0.002809312181147955
1929,819,True,True,0.02930605698893699,0.970693943011063
7,5,True,True,0.0259503589096516,0.9740496410903485
3456012,240906,True,True,0.06438812462556445,0.9356118753744356
25,9,True,True,0.22869974664877443,0.7713002533512255
3490922,247860,True,True,0.062443527290683275,0.9375564727093169
1826826,158286,False,False,0.9960175275273234,0.003982472472676564
17573,5869,True,True,0.016666974123128897,0.9833330258768711
7,5,True,True,0.09939442532969475,0.9006055746703051
81324,19726,True,True,0.023993832222147522,0.9760061677778524
16011,4257,True,True,0.08753205928679551,0.9124679407132046
7,5,True,True,0.09933959381092834,0.9006604061890716
