count,file_name,problem_instance_uuid,team,creation_timestamp,short_name,number_of_hamiltonians
1,problem_instance.cl2_0.0e393c20-3915-42b9-a8aa-29bf53548269.json,0e393c20-3915-42b9-a8aa-29bf53548269,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,cl2_0,3
2,problem_instance.Cu_0.1448d27d-bfa9-470f-a6c8-864a295b66f4.json,1448d27d-bfa9-470f-a6c8-864a295b66f4,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Cu_0,2
3,problem_instance.si2_h6_0.0c1dfb55-f021-409a-80b1-79c8c2908095.json,0c1dfb55-f021-409a-80b1-79c8c2908095,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,si2_h6_0,1
4,problem_instance.blue_dimer.dc8bdc56-5ebd-4996-6b81-81b1a06d8c76.json,dc8bdc56-5ebd-4996-6b81-81b1a06d8c76,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,blue_dimer,12
5,problem_instance.benzene.f377cc27-366a-45af-b45a-c8478e4b6199.json,f377cc27-366a-45af-b45a-c8478e4b6199,Matthew Otten/,2024-11-20T00:00:00.0+00:00,benzene,2
6,problem_instance.Cr_1.02a8c4e9-9d15-4742-b4cc-7f47f69da0e5.json,02a8c4e9-9d15-4742-b4cc-7f47f69da0e5,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Cr_1,3
7,problem_instance.Ti_1.9823b0dd-87b6-4793-9741-e8cbcf2b50c0.json,9823b0dd-87b6-4793-9741-e8cbcf2b50c0,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,Ti_1,2
8,problem_instance.V_0.a14a1e28-71c5-4e23-bf6e-dd9662a6df58.json,a14a1e28-71c5-4e23-bf6e-dd9662a6df58,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,V_0,2
9,problem_instance.CuO_0.886ad5bf-d487-48c8-b08c-c9f82b84ed5d.json,886ad5bf-d487-48c8-b08c-c9f82b84ed5d,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,CuO_0,1
10,problem_instance.TiO_0.0b91f99e-8de5-415d-a78e-f80e45d621ca.json,0b91f99e-8de5-415d-a78e-f80e45d621ca,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,TiO_0,1
11,problem_instance.na2_0.edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76.json,edb1dfc4-c9d0-41ce-902a-2cfcf97c0c76,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,na2_0,3
12,problem_instance.mn_mono.cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8.json,cb40f3f7-ffe8-40e8-4544-f26aad5a8bd8,BOBQAT Team/Zapata AI/,2024-03-20T20:48:21.795324+00:00,mn_mono,8
13,problem_instance.FeO_0.55d0ed82-0560-4448-8459-c2ba00654d9d.json,55d0ed82-0560-4448-8459-c2ba00654d9d,Matthew Otten/Thomas Watts/Joshua T. Cantin/,2024-11-20T00:00:00.0+00:00,FeO_0,1
